text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.34765625,2.30859375,2.52734375,2.18359375,2.43359375,2.638671875
9A24CB0724FE,2.123046875,2.26171875,2.615234375,2.158203125,2.5703125,2.92578125
CEC71375C061,2.37890625,2.5078125,2.494140625,2.46484375,2.857421875,2.888671875
457A4416559B,2.037109375,2.056640625,2.201171875,1.939453125,2.26171875,2.255859375
DBAB680CBC5D,2.642578125,2.60546875,2.720703125,2.4921875,2.703125,2.98828125
F8BA702A8450,2.677734375,2.685546875,2.84765625,2.69921875,2.892578125,3.0859375
CBDE3C526D05,2.556640625,2.62890625,2.83984375,2.623046875,3.04296875,2.568359375
0E22A47D358E,2.220703125,2.2109375,2.328125,2.244140625,2.28515625,2.357421875
B0DFC5E93591,1.705078125,1.7529296875,2.056640625,1.7314453125,1.7744140625,1.7724609375
E80B0AD2A9D7,2.169921875,2.11328125,2.3671875,2.072265625,2.1015625,2.583984375
38CADC812CBA,2.58984375,2.580078125,2.744140625,2.59375,2.712890625,2.96484375
E4298EE64777,2.841796875,2.818359375,2.876953125,2.8671875,3.03515625,2.564453125
4E1C62576A76,2.681640625,2.548828125,2.744140625,2.572265625,2.63671875,2.69921875
D9130F5402F6,2.810546875,2.84375,2.98046875,2.9921875,3.2421875,2.87890625
F144EA4BE505,1.5751953125,1.5791015625,1.7919921875,1.6748046875,1.8115234375,1.361328125
E5621447B675,2.66796875,2.505859375,2.607421875,2.498046875,2.724609375,2.177734375
F0E76CC2EF7A,3.2109375,3.322265625,3.193359375,3.33203125,3.5,3.646484375
E877D5AD16DA,2.8125,2.810546875,2.982421875,3.0078125,3.138671875,2.8828125
E0BABC4506D0,2.953125,2.794921875,2.921875,2.71484375,2.65234375,2.9375
0CFDDC1CF75A,2.380859375,2.431640625,2.669921875,2.51953125,2.546875,2.603515625
79098D096CB8,2.392578125,2.361328125,2.607421875,2.326171875,2.34375,2.4375
C1C75CB3BB17,2.8046875,2.73828125,2.921875,2.7421875,2.78515625,3.1171875
EC3F3F26E635,3.015625,3.228515625,3.154296875,3.345703125,3.5546875,3.0546875
91B88A23A5E4,2.91796875,2.947265625,3.220703125,3.0703125,3.318359375,3.1015625
375ABFC3D6F5,3.236328125,3.33203125,3.568359375,3.318359375,3.5078125,3.671875
4C1C3000E7C6,2.34375,2.1484375,2.68359375,2.29296875,2.205078125,2.3046875
C5CA6C22BAFE,2.490234375,2.5703125,2.81640625,2.73046875,2.908203125,2.619140625
D4A38C52F57D,3.251953125,3.333984375,3.4609375,3.55859375,3.837890625,3.416015625
0420DDE0BABD,2.3984375,2.33984375,2.6796875,2.50390625,2.357421875,2.337890625
E0DF99CD1D9C,2.396484375,2.40234375,2.572265625,2.52734375,2.56640625,2.357421875
757C5E55BA96,2.884765625,2.853515625,2.90234375,2.779296875,2.87109375,2.845703125
DF8B648769C5,2.9140625,2.7734375,2.935546875,2.7109375,2.708984375,2.912109375
A4DA4201903F,1.99609375,1.8828125,2.345703125,2.08203125,2.001953125,1.9619140625
B83DD09D3129,2.578125,2.4765625,2.72265625,2.46484375,2.44140625,2.40625
B3241FAB44C9,3.6015625,3.67578125,3.6640625,3.791015625,4.2109375,4.01953125
E0BDF62838F7,2.640625,2.693359375,2.97265625,2.6875,3.037109375,3.015625
9E1DFDF33C0B,3.205078125,3.26171875,3.185546875,3.21484375,3.4453125,3.359375
0B84A2B37B65,2.412109375,2.265625,2.5703125,2.376953125,2.30078125,2.486328125
61471CA2532D,2.33203125,2.126953125,2.435546875,2.1640625,2.07421875,2.2109375
DAF9AC30424E,2.78515625,2.720703125,2.818359375,2.86328125,3.203125,2.859375
4D377B163021,2.439453125,2.482421875,2.90234375,2.73828125,2.783203125,2.552734375
FF197A6B15B2,2.70703125,2.724609375,2.974609375,2.919921875,2.95703125,2.876953125
306796D0279E,2.509765625,2.390625,2.57421875,2.287109375,2.244140625,2.611328125
48837626943D,2.71875,2.693359375,2.947265625,2.912109375,2.982421875,2.8046875
287BE4F26530,2.642578125,2.484375,2.720703125,2.568359375,2.4921875,2.599609375
CDABA09822C7,2.654296875,2.390625,2.693359375,2.48046875,2.326171875,2.591796875
A2BA5F95C077,2.9921875,2.84765625,3.029296875,2.728515625,2.68359375,3.07421875
DDD1A1F08FDF,2.65625,2.701171875,2.9453125,2.90625,3.052734375,2.525390625
8D160B0BC04B,3.294921875,3.49609375,3.69921875,3.77734375,3.828125,3.583984375
4843C41AAF24,2.765625,2.81640625,3.216796875,2.92578125,3.15234375,3.001953125
46BB96D9BC9B,2.900390625,3.03125,3.11328125,3.01953125,3.15234375,3.1640625
4E59508F6D0B,2.732421875,2.63671875,2.74609375,2.623046875,2.623046875,2.548828125
6013DA298542,2.64453125,2.716796875,2.833984375,2.7109375,2.96875,2.62890625
82CCCAD3BA5B,2.5703125,2.455078125,2.71875,2.5703125,2.55078125,2.341796875
F86C79CE78F4,2.3515625,2.181640625,2.55078125,2.248046875,2.115234375,2.4453125
D6504339A690,2.982421875,3.021484375,3.1015625,3.15234375,3.41015625,3.00390625
E897534557AF,3.15234375,3.08203125,3.271484375,3.048828125,2.978515625,3.154296875
FFD29828A873,2.712890625,2.640625,2.8046875,2.8515625,2.904296875,2.265625
E792CBEB06C5,3.046875,3.037109375,3.146484375,3.166015625,3.34375,3.33984375
2C0F002E8882,2.736328125,2.638671875,2.796875,2.685546875,2.669921875,2.607421875
C7A28C7A3786,2.0859375,2.068359375,2.396484375,2.169921875,2.208984375,2.07421875
56AC4BE71C2F,2.640625,2.677734375,2.984375,2.845703125,2.95703125,2.837890625
824896E8F91B,2.318359375,2.318359375,2.78125,2.470703125,2.59375,2.490234375
DA8E64EC1304,2.830078125,2.67578125,2.689453125,2.625,2.673828125,2.349609375
D242BBCBEAFB,2.939453125,2.984375,3.072265625,2.80078125,3.013671875,3.392578125
FE7BFE19D977,2.91015625,2.7734375,2.892578125,2.6171875,2.71484375,2.6640625
96F4AB949807,2.046875,1.9013671875,2.298828125,2.10546875,2.0546875,1.7578125
24615FD199BE,3.11328125,3.2109375,3.25,3.205078125,3.48828125,3.234375
EF36F9497E96,2.98046875,2.90234375,3.033203125,2.916015625,2.673828125,3.123046875
10D2D1173D36,3.634765625,3.615234375,3.65234375,3.54296875,3.7578125,3.904296875
833489139971,3.3125,3.208984375,3.232421875,3.306640625,3.412109375,3.263671875
F7DD6134C693,2.65625,2.453125,2.685546875,2.48828125,2.234375,2.39453125
