text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.31640625,2.337890625,2.68359375,2.154296875,2.345703125,2.54296875
9A24CB0724FE,2.486328125,2.54296875,2.798828125,2.48046875,2.7890625,2.962890625
CEC71375C061,2.49609375,2.55078125,2.75,2.5078125,2.802734375,2.88671875
457A4416559B,2.01171875,2.23828125,2.20703125,1.9306640625,2.201171875,2.271484375
DBAB680CBC5D,2.677734375,2.744140625,2.70703125,2.58203125,2.767578125,3.0625
F8BA702A8450,2.63671875,2.8359375,3.052734375,2.806640625,3.099609375,2.978515625
CBDE3C526D05,2.455078125,2.529296875,2.85546875,2.654296875,2.978515625,2.5546875
0E22A47D358E,2.20703125,2.267578125,2.390625,2.28515625,2.26953125,2.2890625
B0DFC5E93591,1.61328125,1.8115234375,1.9892578125,1.7666015625,1.990234375,1.998046875
E80B0AD2A9D7,2.109375,2.052734375,2.49609375,2.1171875,2.099609375,2.505859375
38CADC812CBA,2.599609375,2.6875,2.86328125,2.708984375,2.802734375,3.01953125
E4298EE64777,2.6953125,2.666015625,2.84375,2.87890625,3.03515625,2.66015625
4E1C62576A76,2.51953125,2.47265625,2.74609375,2.5390625,2.626953125,2.638671875
D9130F5402F6,2.69140625,2.73046875,2.880859375,2.921875,3.240234375,2.77734375
F144EA4BE505,1.5654296875,1.7001953125,1.87109375,1.6708984375,1.8701171875,1.607421875
E5621447B675,2.689453125,2.546875,2.5234375,2.53515625,2.826171875,2.37890625
F0E76CC2EF7A,3.244140625,3.390625,3.138671875,3.22265625,3.50390625,3.677734375
E877D5AD16DA,2.748046875,2.8359375,2.943359375,2.888671875,3.0703125,2.806640625
E0BABC4506D0,3.005859375,2.802734375,2.984375,2.751953125,2.7265625,3.08984375
0CFDDC1CF75A,2.388671875,2.576171875,2.802734375,2.638671875,2.580078125,2.685546875
79098D096CB8,2.45703125,2.482421875,2.6953125,2.375,2.4140625,2.59765625
C1C75CB3BB17,2.826171875,2.849609375,2.96875,2.8359375,2.89453125,3.126953125
EC3F3F26E635,3.068359375,3.232421875,3.173828125,3.3046875,3.5859375,3.23828125
91B88A23A5E4,2.828125,2.84375,3.138671875,3.01953125,3.115234375,2.93359375
375ABFC3D6F5,3.298828125,3.314453125,3.478515625,3.248046875,3.380859375,3.576171875
4C1C3000E7C6,2.203125,2.021484375,2.55078125,2.271484375,2.177734375,2.1953125
C5CA6C22BAFE,2.568359375,2.5234375,2.826171875,2.775390625,2.861328125,2.544921875
D4A38C52F57D,3.2109375,3.36328125,3.32421875,3.486328125,3.787109375,3.4140625
0420DDE0BABD,2.376953125,2.365234375,2.6953125,2.568359375,2.533203125,2.357421875
E0DF99CD1D9C,2.42578125,2.52734375,2.591796875,2.537109375,2.638671875,2.41796875
757C5E55BA96,2.85546875,2.978515625,2.90234375,2.849609375,3.0546875,2.8515625
DF8B648769C5,3.02734375,2.822265625,2.91015625,2.71875,2.603515625,2.9453125
A4DA4201903F,1.84765625,1.8759765625,2.275390625,2.080078125,1.99609375,1.8349609375
B83DD09D3129,2.4921875,2.509765625,2.654296875,2.50390625,2.408203125,2.298828125
B3241FAB44C9,3.478515625,3.57421875,3.427734375,3.654296875,3.99609375,3.8671875
E0BDF62838F7,2.767578125,2.908203125,3.146484375,2.8671875,3.107421875,3.107421875
9E1DFDF33C0B,3.232421875,3.263671875,3.18359375,3.23828125,3.5,3.39453125
0B84A2B37B65,2.333984375,2.30078125,2.599609375,2.365234375,2.408203125,2.5703125
61471CA2532D,2.21875,2.103515625,2.4453125,2.123046875,2.0625,2.19140625
DAF9AC30424E,2.8125,2.703125,2.791015625,2.921875,3.212890625,2.79296875
4D377B163021,2.3828125,2.52734375,2.974609375,2.861328125,2.98046875,2.560546875
FF197A6B15B2,2.697265625,2.650390625,3.0390625,2.94140625,2.93359375,2.71875
306796D0279E,2.552734375,2.6015625,2.69140625,2.548828125,2.43359375,2.724609375
48837626943D,2.62890625,2.7109375,2.91015625,2.859375,3.021484375,2.802734375
287BE4F26530,2.498046875,2.4609375,2.791015625,2.515625,2.490234375,2.55078125
