text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.349609375,2.31640625,2.65625,2.232421875,2.52734375,2.6484375
9A24CB0724FE,2.509765625,2.60546875,2.8203125,2.49609375,2.783203125,2.974609375
CEC71375C061,2.41796875,2.591796875,2.7890625,2.580078125,2.78125,2.912109375
457A4416559B,1.8642578125,2.13671875,2.255859375,1.923828125,2.1875,2.150390625
DBAB680CBC5D,2.62109375,2.67578125,2.71875,2.517578125,2.783203125,2.958984375
F8BA702A8450,2.6328125,2.802734375,2.923828125,2.716796875,2.998046875,3.009765625
CBDE3C526D05,2.630859375,2.619140625,2.935546875,2.70703125,2.970703125,2.525390625
0E22A47D358E,2.296875,2.224609375,2.421875,2.3046875,2.1953125,2.205078125
B0DFC5E93591,1.6240234375,1.67578125,2.017578125,1.7392578125,1.8720703125,1.8154296875
E80B0AD2A9D7,2.080078125,1.970703125,2.4453125,2.087890625,2.041015625,2.59765625
38CADC812CBA,2.712890625,2.619140625,2.880859375,2.671875,2.916015625,3.080078125
E4298EE64777,2.615234375,2.716796875,2.875,2.833984375,2.966796875,2.654296875
4E1C62576A76,2.619140625,2.533203125,2.779296875,2.615234375,2.654296875,2.578125
D9130F5402F6,2.720703125,2.822265625,2.9296875,2.9453125,3.10546875,2.859375
F144EA4BE505,1.5859375,1.6171875,1.81640625,1.6845703125,1.7763671875,1.5361328125
E5621447B675,2.625,2.51953125,2.67578125,2.50390625,2.693359375,2.26953125
F0E76CC2EF7A,3.28515625,3.326171875,3.240234375,3.244140625,3.443359375,3.470703125
E877D5AD16DA,2.71484375,2.775390625,2.97265625,2.89453125,3.021484375,2.703125
E0BABC4506D0,2.970703125,2.771484375,2.951171875,2.783203125,2.7109375,3.091796875
0CFDDC1CF75A,2.453125,2.537109375,2.81640625,2.587890625,2.556640625,2.728515625
79098D096CB8,2.34765625,2.328125,2.6328125,2.38671875,2.39453125,2.607421875
C1C75CB3BB17,2.8828125,2.849609375,3.0234375,2.791015625,2.9140625,3.103515625
EC3F3F26E635,3.017578125,3.25390625,3.189453125,3.40234375,3.478515625,3.259765625
91B88A23A5E4,2.8828125,2.89453125,3.236328125,3.009765625,3.17578125,2.98828125
375ABFC3D6F5,3.267578125,3.353515625,3.640625,3.31640625,3.525390625,3.599609375
4C1C3000E7C6,2.078125,1.97265625,2.65625,2.203125,2.11328125,2.22265625
C5CA6C22BAFE,2.556640625,2.58203125,2.814453125,2.671875,2.828125,2.52734375
D4A38C52F57D,3.24609375,3.408203125,3.447265625,3.482421875,3.720703125,3.404296875
0420DDE0BABD,2.39453125,2.28515625,2.744140625,2.552734375,2.41796875,2.361328125
E0DF99CD1D9C,2.43359375,2.455078125,2.626953125,2.521484375,2.5,2.470703125
757C5E55BA96,2.931640625,2.970703125,2.8125,2.853515625,2.986328125,2.787109375
DF8B648769C5,2.939453125,2.736328125,2.904296875,2.666015625,2.576171875,2.87890625
A4DA4201903F,1.96484375,1.8525390625,2.302734375,2.087890625,1.908203125,1.88671875
B83DD09D3129,2.578125,2.470703125,2.646484375,2.478515625,2.38671875,2.212890625
B3241FAB44C9,3.509765625,3.634765625,3.658203125,3.6484375,4.09765625,3.84765625
E0BDF62838F7,2.818359375,2.837890625,3.189453125,2.958984375,3.107421875,3.103515625
9E1DFDF33C0B,3.205078125,3.248046875,3.287109375,3.251953125,3.40625,3.255859375
0B84A2B37B65,2.2890625,2.244140625,2.576171875,2.396484375,2.365234375,2.509765625
61471CA2532D,2.263671875,2.08203125,2.443359375,2.1171875,2.021484375,2.19140625
DAF9AC30424E,2.896484375,2.841796875,2.791015625,2.943359375,3.1875,2.7734375
4D377B163021,2.55859375,2.5390625,2.978515625,2.93359375,2.90625,2.54296875
FF197A6B15B2,2.669921875,2.650390625,3.017578125,2.796875,2.8359375,2.802734375
306796D0279E,2.75390625,2.564453125,2.7578125,2.634765625,2.462890625,2.748046875
48837626943D,2.640625,2.65625,2.9375,2.830078125,2.9296875,2.732421875
287BE4F26530,2.5859375,2.482421875,2.787109375,2.599609375,2.51171875,2.564453125
CDABA09822C7,2.673828125,2.453125,2.828125,2.541015625,2.3515625,2.5859375
A2BA5F95C077,2.859375,2.734375,2.990234375,2.7421875,2.728515625,2.916015625
DDD1A1F08FDF,2.623046875,2.71484375,2.955078125,2.9375,3.0234375,2.6328125
8D160B0BC04B,3.150390625,3.37890625,3.630859375,3.56640625,3.583984375,3.533203125
4843C41AAF24,2.822265625,2.720703125,3.134765625,2.970703125,3.06640625,2.85546875
46BB96D9BC9B,3.00390625,3.171875,3.1875,3.158203125,3.22265625,3.2109375
4E59508F6D0B,2.62109375,2.6484375,2.708984375,2.681640625,2.640625,2.541015625
6013DA298542,2.580078125,2.541015625,2.892578125,2.69140625,2.828125,2.583984375
82CCCAD3BA5B,2.61328125,2.486328125,2.681640625,2.615234375,2.515625,2.291015625
F86C79CE78F4,2.31640625,2.083984375,2.517578125,2.189453125,2.046875,2.431640625
D6504339A690,2.99609375,3.0703125,3.05859375,3.138671875,3.337890625,3.03125
E897534557AF,3.025390625,2.970703125,3.166015625,2.919921875,2.8671875,3.09765625
FFD29828A873,2.58203125,2.5078125,2.875,2.78125,2.79296875,2.24609375
E792CBEB06C5,3.095703125,2.982421875,3.248046875,3.107421875,3.21484375,3.3984375
2C0F002E8882,2.671875,2.58984375,2.806640625,2.62890625,2.626953125,2.515625
C7A28C7A3786,2.046875,1.9658203125,2.30859375,2.123046875,2.12890625,2.0390625
56AC4BE71C2F,2.759765625,2.720703125,3.005859375,2.876953125,2.9453125,2.783203125
824896E8F91B,2.27734375,2.384765625,2.77734375,2.552734375,2.607421875,2.541015625
DA8E64EC1304,2.7578125,2.6015625,2.671875,2.515625,2.5625,2.279296875
D242BBCBEAFB,2.94921875,2.966796875,3.09765625,2.78125,2.9453125,3.296875
FE7BFE19D977,2.888671875,2.72265625,2.966796875,2.685546875,2.8046875,2.712890625
96F4AB949807,2.0078125,1.8359375,2.177734375,1.994140625,1.99609375,1.767578125
24615FD199BE,3.078125,3.115234375,3.314453125,3.2109375,3.40625,3.173828125
EF36F9497E96,2.796875,2.884765625,3.0078125,2.7890625,2.72265625,2.97265625
10D2D1173D36,3.580078125,3.583984375,3.595703125,3.486328125,3.685546875,3.921875
833489139971,3.193359375,3.193359375,3.224609375,3.234375,3.337890625,3.22265625
F7DD6134C693,2.5703125,2.3984375,2.65234375,2.4296875,2.240234375,2.416015625
5B0E80E62A8C,3.140625,3.212890625,3.1796875,3.169921875,3.412109375,3.388671875
8E6F35BA3EE6,2.61328125,2.767578125,3.00390625,2.916015625,3.052734375,3.10546875
CF7AF5FA5DDC,3.646484375,3.580078125,3.580078125,3.6484375,3.62890625,3.759765625
60AEEA05E1A9,2.681640625,2.431640625,2.828125,2.64453125,2.5703125,2.572265625
7820048B53C8,3.1015625,3.126953125,3.302734375,3.166015625,3.376953125,3.189453125
