text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.216796875,2.3125,2.591796875,2.17578125,2.42578125,2.689453125
9A24CB0724FE,2.2734375,2.57421875,2.6875,2.4921875,2.78125,3.001953125
DBAB680CBC5D,2.68359375,2.669921875,2.7421875,2.53515625,2.74609375,3.01953125
CEC71375C061,2.53515625,2.59375,2.65625,2.568359375,2.849609375,3.06640625
457A4416559B,2.0546875,2.193359375,2.326171875,2.056640625,2.20703125,2.26953125
F8BA702A8450,2.748046875,2.693359375,2.990234375,2.66015625,2.958984375,3.001953125
CBDE3C526D05,2.638671875,2.73046875,2.86328125,2.814453125,3.04296875,2.6796875
B0DFC5E93591,1.5341796875,1.716796875,2.017578125,1.7490234375,1.837890625,1.7919921875
0E22A47D358E,2.296875,2.201171875,2.326171875,2.232421875,2.279296875,2.296875
E80B0AD2A9D7,2.197265625,1.9423828125,2.462890625,2.08203125,1.9765625,2.609375
4E1C62576A76,2.712890625,2.490234375,2.798828125,2.560546875,2.681640625,2.64453125
E4298EE64777,2.83984375,2.76953125,2.916015625,2.88671875,3.04296875,2.6796875
38CADC812CBA,2.55078125,2.619140625,2.83984375,2.5234375,2.69921875,3.0234375
E5621447B675,2.62109375,2.59375,2.630859375,2.501953125,2.841796875,2.314453125
0CFDDC1CF75A,2.333984375,2.4609375,2.751953125,2.525390625,2.49609375,2.673828125
C5CA6C22BAFE,2.43359375,2.564453125,2.83984375,2.720703125,2.755859375,2.505859375
D9130F5402F6,2.708984375,2.892578125,2.904296875,3.03515625,3.19140625,2.765625
0420DDE0BABD,2.361328125,2.3125,2.638671875,2.544921875,2.419921875,2.294921875
E877D5AD16DA,2.76171875,2.935546875,3.03515625,2.978515625,3.171875,2.861328125
C1C75CB3BB17,2.755859375,2.765625,2.95703125,2.791015625,2.740234375,3.09375
E0DF99CD1D9C,2.3671875,2.408203125,2.568359375,2.458984375,2.50390625,2.4140625
79098D096CB8,2.37109375,2.3359375,2.673828125,2.36328125,2.322265625,2.62890625
E0BABC4506D0,2.96875,2.85546875,2.9921875,2.80859375,2.703125,3.09765625
F144EA4BE505,1.5849609375,1.63671875,1.8525390625,1.671875,1.78125,1.400390625
4C1C3000E7C6,2.21875,2.03515625,2.572265625,2.23828125,2.171875,2.267578125
91B88A23A5E4,2.904296875,2.8984375,3.150390625,3.05859375,3.1953125,3.099609375
A4DA4201903F,1.8291015625,1.833984375,2.263671875,2.048828125,1.9033203125,1.8017578125
E0BDF62838F7,2.63671875,2.732421875,3.04296875,2.884765625,3.087890625,3.08203125
EC3F3F26E635,3.083984375,3.236328125,3.220703125,3.44921875,3.58984375,3.259765625
375ABFC3D6F5,3.240234375,3.34765625,3.51171875,3.314453125,3.470703125,3.662109375
DF8B648769C5,3.08203125,2.775390625,2.998046875,2.787109375,2.55859375,2.873046875
F0E76CC2EF7A,3.287109375,3.333984375,3.23046875,3.318359375,3.396484375,3.56640625
FF197A6B15B2,2.724609375,2.66015625,3.015625,2.91015625,2.884765625,2.853515625
D4A38C52F57D,3.267578125,3.361328125,3.455078125,3.423828125,3.755859375,3.349609375
06737289651D,2.123046875,1.9326171875,2.345703125,2.07421875,2.044921875,1.8974609375
DAF9AC30424E,2.77734375,2.751953125,2.720703125,2.845703125,3.13671875,2.75390625
B83DD09D3129,2.517578125,2.404296875,2.642578125,2.42578125,2.3515625,2.267578125
4E59508F6D0B,2.697265625,2.58203125,2.73828125,2.65625,2.599609375,2.515625
DDD1A1F08FDF,2.525390625,2.609375,2.890625,2.826171875,2.916015625,2.587890625
FFD29828A873,2.64453125,2.58984375,2.865234375,2.837890625,2.84765625,2.2421875
F7DD6134C693,2.634765625,2.439453125,2.625,2.439453125,2.255859375,2.369140625
824896E8F91B,2.130859375,2.306640625,2.69921875,2.53125,2.615234375,2.517578125
757C5E55BA96,2.9453125,2.888671875,2.8671875,2.90625,3.037109375,2.869140625
82CCCAD3BA5B,2.61328125,2.470703125,2.736328125,2.521484375,2.4765625,2.291015625
287BE4F26530,2.505859375,2.431640625,2.751953125,2.6015625,2.5,2.52734375
46BB96D9BC9B,2.904296875,2.947265625,3.09765625,3.095703125,3.025390625,3.09375
064423D845B1,2.93359375,2.826171875,3.029296875,2.849609375,2.751953125,3.01171875
4843C41AAF24,2.76171875,2.818359375,3.193359375,2.982421875,3.130859375,3.02734375
4D377B163021,2.4609375,2.525390625,2.958984375,2.900390625,2.88671875,2.537109375
96F4AB949807,1.8984375,1.8583984375,2.103515625,1.998046875,1.9375,1.6484375
C7A28C7A3786,1.9189453125,2.01171875,2.330078125,2.1171875,2.158203125,2.0859375
9E1DFDF33C0B,3.291015625,3.37109375,3.291015625,3.328125,3.5234375,3.349609375
6013DA298542,2.650390625,2.5625,2.8828125,2.830078125,2.904296875,2.658203125
10D60ACB3E5D,2.03515625,1.92578125,2.3359375,1.9599609375,2.00390625,2.39453125
8E6F35BA3EE6,2.6328125,2.82421875,2.958984375,2.865234375,3.0078125,3.072265625
61471CA2532D,2.33203125,2.099609375,2.451171875,2.1328125,2.017578125,2.185546875
