text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
F69C85F4C3CA,1.2900390625,1.3251953125,1.8515625,1.4599609375,1.87109375,1.849609375
72766FE38307,1.9716796875,2.017578125,2.263671875,1.9951171875,2.173828125,2.28515625
B046D31B68F0,2.63671875,2.775390625,2.880859375,2.736328125,3.08984375,3.056640625
ECE377D2E967,2.541015625,2.646484375,2.775390625,2.533203125,2.642578125,2.955078125
AEE8A576989C,2.052734375,2.0703125,2.33203125,2.119140625,2.275390625,2.384765625
F7B655834981,1.5673828125,1.5634765625,1.9033203125,1.73046875,1.775390625,1.59765625
AEF788DA28DE,2.767578125,2.880859375,3.037109375,2.919921875,3.041015625,3.09375
833F25175AFC,2.603515625,2.65234375,2.845703125,2.703125,2.81640625,2.59765625
C5CA6C22BAFE,2.509765625,2.533203125,2.81640625,2.671875,2.7109375,2.51171875
0420DDE0BABD,2.412109375,2.33984375,2.7578125,2.501953125,2.3984375,2.341796875
E0DF99CD1D9C,2.337890625,2.470703125,2.626953125,2.53125,2.5703125,2.416015625
5A74C94F9813,2.33984375,2.388671875,2.845703125,2.64453125,2.78125,2.662109375
92E97E947628,3.060546875,3.0546875,3.197265625,3.041015625,2.90234375,3.2109375
EC3F3F26E635,2.91015625,3.17578125,3.2109375,3.296875,3.58984375,3.169921875
BA57C427DB35,2.876953125,2.904296875,3.1171875,3.0390625,3.205078125,3.037109375
D03BCE849DEA,2.552734375,2.642578125,2.78515625,2.724609375,2.900390625,2.603515625
DDD1A1F08FDF,2.5390625,2.615234375,2.849609375,2.783203125,2.806640625,2.541015625
9725E454418F,2.353515625,2.216796875,2.40625,2.11328125,2.16796875,2.162109375
E69D5E1FEAB4,2.931640625,2.9296875,3.115234375,3.0859375,2.896484375,2.7890625
C7A28C7A3786,2.0546875,2.095703125,2.37890625,2.2265625,2.27734375,2.041015625
B379CB700CCD,2.75390625,2.701171875,2.9375,2.8671875,2.853515625,2.65234375
16B9EB49892E,2.201171875,2.171875,2.443359375,2.18359375,2.17578125,2.376953125
E7F9A77683D2,2.8828125,2.83984375,2.99609375,3.00390625,3.244140625,3.048828125
C38334385924,2.638671875,2.732421875,2.912109375,2.833984375,2.873046875,2.84375
681B9CD21B07,3.275390625,3.134765625,3.267578125,3.2421875,3.271484375,3.3359375
6B56C630FFC5,2.646484375,2.615234375,2.830078125,2.607421875,2.48828125,2.947265625
E897534557AF,3.12109375,3.025390625,3.240234375,3.052734375,3.025390625,3.10546875
D1EB6E3F8A28,2.91015625,2.818359375,3.013671875,2.876953125,2.748046875,2.958984375
3E750EB9F5C5,2.408203125,2.611328125,2.697265625,2.681640625,2.837890625,2.595703125
F86C79CE78F4,2.28125,2.173828125,2.515625,2.1875,2.0546875,2.37109375
0D8EC8868869,1.66015625,1.5908203125,2.015625,1.7705078125,1.732421875,1.6923828125
C2D40AF42A53,2.634765625,2.58984375,2.83984375,2.64453125,2.66796875,3.03125
FE700406E7D4,2.453125,2.318359375,2.564453125,2.359375,2.263671875,2.521484375
C045A27AFE82,2.611328125,2.546875,2.658203125,2.603515625,2.6015625,2.2734375
90BF447C6E83,2.57421875,2.43359375,2.71484375,2.60546875,2.568359375,2.255859375
F1883C3A8C1E,3.0859375,2.8984375,3.125,3.052734375,2.962890625,2.935546875
F7E78C064324,2.181640625,2.169921875,2.4921875,2.234375,2.203125,2.361328125
48940AA0656E,3.154296875,2.962890625,3.060546875,2.861328125,3.03515625,2.984375
F9C96F25D515,3.0390625,3.09765625,3.173828125,3.099609375,3.23828125,3.052734375
31D67F9A82BA,3.404296875,3.302734375,3.48046875,3.255859375,3.611328125,3.65234375
861349CA778E,3.099609375,3.107421875,3.185546875,3.23046875,3.474609375,3.359375
3567E4ED2023,2.53125,2.490234375,2.681640625,2.392578125,2.27734375,2.7734375
745F880CEFA7,3.13671875,3.42578125,3.51171875,3.505859375,3.689453125,3.546875
AC7AB280A93C,3.298828125,3.322265625,3.41796875,3.404296875,3.578125,3.484375
DF64D7FF61F1,3.017578125,2.9296875,2.904296875,2.8046875,2.947265625,3.09765625
0C8D699DEE90,1.7822265625,1.6611328125,2.04296875,1.7861328125,1.716796875,1.802734375
263A29FC4FB1,3.001953125,2.931640625,3.099609375,3.07421875,3.212890625,3.080078125
5AAD796F4D6B,2.96875,2.91015625,3.166015625,3.046875,3.140625,3.033203125
CEC6870D564F,2.923828125,2.5390625,2.767578125,2.443359375,2.359375,2.654296875
66133AC6189A,2.8359375,2.736328125,2.896484375,2.771484375,2.79296875,2.7578125
FC7F226294EE,2.818359375,2.740234375,2.947265625,2.951171875,2.890625,2.373046875
FF4CBDA0E418,3.158203125,2.833984375,3.12109375,3.009765625,2.96484375,2.84765625
C3E8D00403D9,3.603515625,3.65234375,3.607421875,3.564453125,3.82421875,3.94921875
F2A97549C778,3.638671875,3.6875,3.671875,3.8671875,4.02734375,3.666015625
AF71C89CD199,2.734375,2.736328125,2.775390625,2.75390625,2.830078125,2.6875
F0B44890C961,3.0078125,2.9921875,3.099609375,3.01171875,2.89453125,2.99609375
5F8F76B7A6FD,2.671875,2.498046875,2.81640625,2.650390625,2.5078125,2.51953125
3D3C80EF2AAA,2.931640625,2.69140625,2.72265625,2.755859375,2.84765625,2.337890625
71BA665B1B31,3.376953125,3.25390625,3.201171875,3.29296875,3.52734375,3.197265625
D92BFF2AC7FD,3.552734375,3.412109375,3.470703125,3.376953125,3.283203125,3.314453125
973B1ACD7430,3.49609375,3.34375,3.3671875,3.5078125,3.849609375,3.296875
C8CFF17BCD6A,2.76171875,2.80078125,2.796875,2.787109375,2.958984375,3.166015625
E98862049B2E,2.681640625,2.66796875,2.986328125,2.8515625,2.80078125,2.85546875
BCEDACE63B48,2.724609375,2.654296875,2.6875,2.57421875,2.642578125,2.384765625
07D5647B11AE,2.6328125,2.5078125,2.810546875,2.587890625,2.423828125,2.3671875
CA8C0B2EA600,3.185546875,3.1953125,3.279296875,3.330078125,3.521484375,3.236328125
DF1D43973CFA,2.5078125,2.46875,2.564453125,2.337890625,2.287109375,2.708984375
A336FB5F2623,3.05859375,2.888671875,3.20703125,3.08203125,2.85546875,3.091796875
64B53DEF0467,2.81640625,2.71484375,2.880859375,2.66015625,2.603515625,2.7109375
4000ADB040FE,2.453125,2.359375,2.677734375,2.365234375,2.3046875,2.609375
623B7BD7613C,3.583984375,3.5625,3.97265625,3.748046875,3.927734375,3.734375
5D742A0E0623,2.794921875,2.560546875,2.80859375,2.716796875,2.61328125,2.5078125
BEFC24511B26,2.71875,2.5859375,2.73046875,2.453125,2.47265625,2.572265625
8415937CA4D9,3.029296875,2.9921875,3.25390625,3.28515625,3.234375,2.94921875
F074C2FEC1AF,3.03515625,3.009765625,3.21484375,3.22265625,3.150390625,2.77734375
5EA0A8768F94,3.21484375,3.541015625,3.505859375,3.654296875,3.638671875,3.54296875
DEC2349902F8,2.5234375,2.470703125,2.771484375,2.63671875,2.744140625,2.59375
EE9EA950AAE1,2.73828125,2.513671875,2.79296875,2.607421875,2.583984375,2.546875
40331978F344,3.501953125,3.390625,3.46484375,3.5,3.775390625,3.2421875
C6EE9996089C,2.630859375,2.291015625,2.623046875,2.298828125,2.2734375,2.5625
960D7C072801,3.001953125,3.19140625,3.22265625,3.1484375,3.40234375,3.37109375
FC86782120D3,2.447265625,2.55859375,2.86328125,2.7578125,2.81640625,2.73046875
54AC60510DC3,3.294921875,3.115234375,3.09375,2.974609375,3.1328125,3.501953125
F998E8BD71CF,2.869140625,2.9609375,3.125,3.119140625,3.251953125,3.0625
02B07248077F,2.19140625,2.046875,2.427734375,2.27734375,2.056640625,1.9755859375
AAE16C990870,3.060546875,2.919921875,3.017578125,3.029296875,3.158203125,2.81640625
F75BD3928377,2.7109375,2.603515625,2.775390625,2.37890625,2.21484375,2.673828125
7EB7BB90A2F0,2.966796875,2.904296875,3.125,3.001953125,2.80078125,2.8359375
E0ED97D6F88B,2.93359375,2.685546875,2.990234375,2.859375,2.841796875,2.529296875
3A38B9DD6723,3.361328125,3.505859375,3.595703125,3.521484375,3.591796875,3.740234375
3E1A0BAC4372,3.13671875,3.3359375,3.291015625,3.361328125,3.39453125,3.431640625
5D12067722AD,3.2890625,3.529296875,3.435546875,3.48046875,3.91015625,3.390625
C277BE295A41,3.732421875,3.708984375,3.7890625,3.822265625,3.83984375,3.939453125
ACA08DBF39EE,2.599609375,2.123046875,2.48046875,2.142578125,2.056640625,2.26171875
D5E3716C5E49,3.33203125,3.20703125,3.322265625,3.25,3.3203125,3.271484375
747E3560442E,3.349609375,3.177734375,3.330078125,3.16015625,3.134765625,3.3515625
9C7B4130AA3E,3.40625,3.46875,3.44921875,3.4765625,3.4140625,3.75
C0643251A96A,2.619140625,2.5078125,2.78125,2.767578125,2.802734375,2.083984375
FE1D0E5EA2EB,2.896484375,2.955078125,3.140625,3.1796875,3.12890625,2.580078125
B39F335086FB,2.9921875,2.6640625,3.005859375,2.751953125,2.609375,2.87890625
71131D46F019,3.65625,3.5234375,3.474609375,3.4921875,3.693359375,3.63671875
4D3CF318797A,3.69140625,3.8125,3.806640625,3.892578125,3.9609375,3.90625
6D728858E86F,3.0625,2.947265625,2.970703125,2.841796875,2.76171875,3.09375
E98FABC326F7,2.74609375,2.70703125,3.029296875,2.919921875,2.982421875,2.736328125
39776B3A4C70,2.8046875,2.66796875,3.04296875,2.89453125,2.8359375,2.853515625
0AF4F757FBEA,2.98046875,2.5546875,2.90234375,2.556640625,2.326171875,2.8515625
2E98035B8362,3.0625,3.12890625,3.32421875,3.259765625,3.509765625,3.37109375
5A89482533D9,2.69921875,2.478515625,2.76171875,2.58203125,2.458984375,2.169921875
443AA4F38C8B,2.568359375,2.439453125,2.77734375,2.541015625,2.2578125,2.458984375
20CF9410DC4A,3.46484375,3.138671875,3.298828125,3.115234375,2.84765625,3.279296875
5AEAF1C7B87C,3.421875,3.37109375,3.5234375,3.396484375,3.326171875,3.466796875
BC1F1C37721E,3.34765625,3.23046875,3.50390625,3.318359375,3.37109375,3.466796875
900D1E184F63,2.9296875,2.98046875,3.2578125,3.001953125,2.904296875,3.236328125
41BB825BAEBB,2.865234375,2.953125,3.2578125,3.189453125,3.265625,3.169921875
CB120B25B46E,3.322265625,3.203125,3.259765625,3.095703125,3.05078125,3.494140625
A1DC92E4E3C8,4.00390625,3.892578125,4.0078125,3.974609375,3.94140625,3.84375
B41ED2C0C016,3.068359375,3.076171875,3.26953125,3.259765625,3.515625,3.06640625
6886DF2A98BE,3.23828125,3.384765625,3.416015625,3.38671875,3.681640625,3.47265625
F7CC31D47F06,3.234375,3.3984375,3.365234375,3.412109375,3.650390625,3.55078125
F869B38F3A89,2.697265625,2.6484375,2.78515625,2.578125,2.44140625,2.7265625
6A47B80F3283,2.65234375,2.48828125,2.76953125,2.57421875,2.4921875,2.416015625
3F722ACC887E,2.625,2.501953125,2.841796875,2.619140625,2.5703125,2.82421875
6E248B1F33B0,3.212890625,3.08203125,3.240234375,3.029296875,2.830078125,3.310546875
F8FE41D805D0,3.548828125,3.455078125,3.404296875,3.4140625,3.3984375,3.2265625
363295DC545F,2.728515625,2.6015625,2.9140625,2.677734375,2.4765625,2.609375
D5916B1F52BB,2.619140625,2.572265625,3.029296875,2.791015625,2.720703125,2.619140625
2723DB12AC00,3.158203125,3.19921875,3.3046875,3.357421875,3.09375,2.919921875
42DB5DABA590,2.80859375,2.853515625,3.04296875,2.826171875,2.82421875,3.03515625
63C74FF7DB27,2.6640625,2.45703125,2.61328125,2.396484375,2.1875,2.2578125
EA105A8B8699,2.732421875,2.6640625,2.99609375,3.037109375,2.94140625,2.462890625
32A1DC59F4EF,2.53125,2.384765625,2.693359375,2.50390625,2.298828125,2.314453125
423B413192FA,3.404296875,3.048828125,3.248046875,3.205078125,3.021484375,3.099609375
EF4966D17FFB,3.26171875,3.185546875,3.2109375,3.09765625,3.01953125,3.306640625
F711DAD6AA51,3.08203125,2.64453125,2.95703125,2.85546875,2.65625,2.359375
A22BC15DDB95,3.65234375,3.50390625,3.4921875,3.421875,3.3671875,3.720703125
E8EE54F7A2AD,3.068359375,2.822265625,2.9921875,2.921875,2.865234375,2.48828125
BF652DD7B469,2.9453125,2.9921875,2.99609375,3.005859375,2.935546875,2.580078125
8416C7C6F146,1.8916015625,1.8291015625,2.21875,2.099609375,1.9619140625,1.5048828125
FE3CA06DDCA1,3.091796875,3.087890625,3.107421875,3.091796875,3.130859375,3.09375
49F54A35F6F3,3.9609375,3.845703125,3.90234375,3.873046875,3.873046875,4.0234375
F6AEEC01F174,2.73046875,2.759765625,2.912109375,2.6796875,2.69921875,3.109375
EFE2BC73A573,3.18359375,2.92578125,3.03125,2.83203125,2.642578125,3.09765625
DE8162CAC353,2.75,2.6875,2.96875,2.806640625,2.796875,2.53515625
1DFAE221EE14,3.37890625,3.431640625,3.3671875,3.37890625,3.5,3.19921875
E883A8265183,3.03125,2.8984375,3.123046875,3.080078125,2.9375,2.828125
CE246FE2471F,3.228515625,3.134765625,3.4140625,3.375,3.333984375,3.2109375
EFD7D87EF4C9,3.40234375,3.466796875,3.599609375,3.5859375,3.548828125,3.369140625
B261F438E0DA,2.916015625,3.09375,3.314453125,3.30859375,3.224609375,3.06640625
FC723537E49B,2.32421875,2.208984375,2.658203125,2.384765625,2.142578125,2.29296875
ABD38929777A,2.8046875,2.55078125,2.60546875,2.400390625,2.2265625,2.568359375
371739A95793,2.7421875,2.568359375,3.00390625,2.80078125,2.603515625,2.916015625
8773AAFA4355,3.642578125,3.615234375,3.58984375,3.63671875,3.763671875,3.748046875
690713606EEF,2.6015625,2.587890625,2.9296875,2.7890625,2.791015625,2.6953125
61D13513C992,3.181640625,3.275390625,3.3828125,3.33203125,3.494140625,3.32421875
65051CE36DA7,3.169921875,2.935546875,3.068359375,3.095703125,3.109375,2.7578125
AD730017246A,3.025390625,2.75390625,2.908203125,2.779296875,2.52734375,2.3203125
4C0ECF107EC5,2.4375,2.26171875,2.47265625,2.251953125,2.1015625,2.251953125
D610B092DAD9,3.251953125,3.037109375,3.021484375,3.09375,3.052734375,2.404296875
1D82FAFE677B,2.677734375,2.69921875,2.962890625,2.75390625,2.734375,2.794921875
03F7CF142B70,3.09375,3.0,3.009765625,2.978515625,3.19140625,2.7890625
E6338A929654,3.25,3.181640625,3.193359375,3.173828125,3.23046875,3.224609375
C53073A5A9CB,3.130859375,2.802734375,3.13671875,2.95703125,2.76171875,2.861328125
A56BCB594C0C,2.75390625,2.556640625,2.947265625,2.732421875,2.564453125,2.3203125
DF785B00E2A2,2.642578125,2.296875,2.662109375,2.412109375,2.201171875,2.302734375
11DD0B26B584,3.7578125,3.583984375,3.626953125,3.701171875,3.82421875,3.80078125
508A9EC12C44,2.8125,2.50390625,2.888671875,2.5625,2.388671875,2.673828125
A72F4E50ED92,3.427734375,3.283203125,3.416015625,3.259765625,2.96484375,3.482421875
