text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
F69C85F4C3CA,1.001953125,1.0322265625,1.8388671875,1.5,1.734375,1.6572265625
72766FE38307,2.0234375,2.189453125,2.38671875,2.068359375,2.22265625,2.328125
B046D31B68F0,2.62109375,2.796875,2.98046875,2.775390625,3.181640625,3.046875
ECE377D2E967,2.580078125,2.693359375,2.6953125,2.46875,2.568359375,2.931640625
AEE8A576989C,2.087890625,2.115234375,2.4296875,2.103515625,2.390625,2.412109375
AEF788DA28DE,2.994140625,3.052734375,3.068359375,3.001953125,3.212890625,3.201171875
F7B655834981,1.38671875,1.5439453125,1.8388671875,1.572265625,1.669921875,1.53515625
833F25175AFC,2.6015625,2.556640625,2.8046875,2.63671875,2.65625,2.54296875
92E97E947628,3.037109375,3.01171875,3.15234375,3.001953125,3.021484375,3.20703125
EC3F3F26E635,3.17578125,3.201171875,3.287109375,3.23828125,3.615234375,3.244140625
C5CA6C22BAFE,2.646484375,2.568359375,2.841796875,2.814453125,2.87890625,2.65234375
0420DDE0BABD,2.3984375,2.34765625,2.75390625,2.544921875,2.51171875,2.36328125
E0DF99CD1D9C,2.408203125,2.53125,2.66015625,2.5859375,2.67578125,2.5390625
BA57C427DB35,3.07421875,3.015625,3.271484375,3.142578125,3.423828125,3.0859375
9725E454418F,2.29296875,2.166015625,2.51953125,2.17578125,2.1015625,2.013671875
5A74C94F9813,2.3515625,2.3671875,2.849609375,2.62890625,2.89453125,2.69140625
E69D5E1FEAB4,2.875,2.8125,3.0,2.9296875,2.791015625,2.671875
DDD1A1F08FDF,2.689453125,2.748046875,3.005859375,2.92578125,3.05859375,2.671875
D03BCE849DEA,2.5703125,2.646484375,2.822265625,2.720703125,3.02734375,2.650390625
C38334385924,2.794921875,2.763671875,2.970703125,2.8515625,2.912109375,2.83203125
F86C79CE78F4,2.27734375,2.142578125,2.509765625,2.203125,2.044921875,2.3984375
16B9EB49892E,2.2265625,2.205078125,2.49609375,2.1796875,2.248046875,2.427734375
E897534557AF,3.09375,3.060546875,3.302734375,3.080078125,3.056640625,3.17578125
C7A28C7A3786,2.009765625,2.07421875,2.3671875,2.189453125,2.171875,2.0859375
681B9CD21B07,3.255859375,3.224609375,3.3359375,3.26953125,3.501953125,3.431640625
E7F9A77683D2,2.873046875,2.92578125,3.041015625,3.072265625,3.3203125,3.056640625
FE700406E7D4,2.568359375,2.365234375,2.56640625,2.400390625,2.3671875,2.560546875
48940AA0656E,3.0390625,2.98828125,3.099609375,2.912109375,3.10546875,3.048828125
6B56C630FFC5,2.931640625,2.78125,2.9921875,2.755859375,2.830078125,3.111328125
F7E78C064324,2.19921875,2.181640625,2.46875,2.236328125,2.193359375,2.4296875
0D8EC8868869,1.7138671875,1.6748046875,2.06640625,1.7890625,1.8193359375,1.751953125
31D67F9A82BA,3.388671875,3.27734375,3.48828125,3.18359375,3.521484375,3.595703125
C2D40AF42A53,2.669921875,2.658203125,2.962890625,2.755859375,2.830078125,3.140625
3567E4ED2023,2.546875,2.341796875,2.7578125,2.453125,2.2734375,2.6875
D1EB6E3F8A28,2.935546875,2.91796875,3.099609375,2.99609375,2.95703125,3.0703125
B379CB700CCD,2.859375,2.7265625,2.927734375,2.90625,2.982421875,2.6953125
AC7AB280A93C,3.41015625,3.33203125,3.404296875,3.361328125,3.43359375,3.451171875
C045A27AFE82,2.662109375,2.619140625,2.6171875,2.5625,2.59375,2.13671875
861349CA778E,3.353515625,3.37109375,3.251953125,3.40625,3.763671875,3.591796875
0C8D699DEE90,1.8544921875,1.71484375,2.1328125,1.7939453125,1.75,1.8466796875
3D3C80EF2AAA,2.841796875,2.77734375,2.81640625,2.791015625,2.701171875,2.400390625
F1883C3A8C1E,3.12109375,3.005859375,3.154296875,3.216796875,3.185546875,3.017578125
5AAD796F4D6B,3.01953125,2.896484375,3.24609375,3.099609375,3.13671875,3.060546875
FF4CBDA0E418,2.91796875,2.7265625,3.125,2.986328125,2.919921875,2.849609375
90BF447C6E83,2.6640625,2.4765625,2.666015625,2.5,2.51953125,2.11328125
66133AC6189A,2.91015625,2.767578125,2.93359375,2.802734375,2.76171875,2.734375
745F880CEFA7,3.27734375,3.44140625,3.4453125,3.51953125,3.619140625,3.57421875
3E750EB9F5C5,2.548828125,2.767578125,2.78125,2.841796875,3.12890625,2.751953125
973B1ACD7430,3.57421875,3.47265625,3.431640625,3.568359375,3.900390625,3.421875
F2A97549C778,3.671875,3.7734375,3.75390625,3.974609375,4.03515625,3.634765625
CEC6870D564F,2.8671875,2.5078125,2.798828125,2.474609375,2.33984375,2.64453125
C3E8D00403D9,3.46484375,3.564453125,3.55078125,3.52734375,3.681640625,3.86328125
C6EE9996089C,2.626953125,2.306640625,2.751953125,2.3515625,2.29296875,2.599609375
AF71C89CD199,2.76171875,2.765625,2.7734375,2.712890625,2.794921875,2.685546875
F9C96F25D515,3.068359375,3.10546875,3.224609375,3.10546875,3.337890625,3.291015625
DF64D7FF61F1,3.154296875,3.109375,3.0546875,2.9375,3.154296875,3.302734375
71BA665B1B31,3.396484375,3.328125,3.32421875,3.330078125,3.53125,3.359375
CA8C0B2EA600,3.220703125,3.083984375,3.267578125,3.306640625,3.470703125,3.23828125
5D742A0E0623,2.7890625,2.5625,2.76953125,2.677734375,2.59765625,2.43359375
FC7F226294EE,2.833984375,2.689453125,2.947265625,2.931640625,2.8515625,2.373046875
C8CFF17BCD6A,2.83203125,2.771484375,2.755859375,2.74609375,2.93359375,3.173828125
54AC60510DC3,3.169921875,3.03515625,3.052734375,2.875,2.98828125,3.455078125
E98862049B2E,2.658203125,2.642578125,3.001953125,2.900390625,2.826171875,2.82421875
960D7C072801,3.15234375,3.275390625,3.314453125,3.306640625,3.529296875,3.53515625
DF1D43973CFA,2.666015625,2.546875,2.66015625,2.3046875,2.337890625,2.76953125
07D5647B11AE,2.810546875,2.60546875,2.84765625,2.6015625,2.33984375,2.412109375
5F8F76B7A6FD,2.8125,2.578125,2.880859375,2.666015625,2.5390625,2.56640625
263A29FC4FB1,2.990234375,2.9296875,3.15625,3.173828125,3.24609375,3.142578125
A336FB5F2623,3.14453125,2.974609375,3.189453125,3.1484375,2.939453125,3.171875
C277BE295A41,3.671875,3.568359375,3.755859375,3.59375,3.6875,3.79296875
F0B44890C961,3.029296875,2.935546875,3.03125,3.009765625,2.861328125,2.9609375
EE9EA950AAE1,2.64453125,2.4375,2.794921875,2.568359375,2.515625,2.583984375
FC86782120D3,2.494140625,2.56640625,2.884765625,2.80078125,2.8203125,2.728515625
D92BFF2AC7FD,3.435546875,3.330078125,3.365234375,3.30078125,3.1796875,3.25
8415937CA4D9,3.18359375,2.904296875,3.265625,3.259765625,3.333984375,2.978515625
64B53DEF0467,2.826171875,2.677734375,2.8515625,2.6171875,2.47265625,2.6875
BEFC24511B26,2.6875,2.630859375,2.7578125,2.412109375,2.40625,2.576171875
40331978F344,3.431640625,3.263671875,3.533203125,3.462890625,3.6328125,3.220703125
AAE16C990870,3.119140625,3.015625,3.123046875,3.140625,3.26953125,2.91796875
DEC2349902F8,2.55078125,2.544921875,2.8828125,2.78125,2.798828125,2.64453125
BCEDACE63B48,2.798828125,2.6796875,2.728515625,2.583984375,2.640625,2.44921875
F074C2FEC1AF,2.97265625,2.841796875,3.181640625,3.091796875,2.998046875,2.69921875
5EA0A8768F94,3.53125,3.607421875,3.607421875,3.7109375,3.955078125,3.61328125
02B07248077F,2.1640625,1.96875,2.412109375,2.1796875,1.9697265625,1.94140625
CB120B25B46E,3.423828125,3.2734375,3.3125,3.12890625,3.0625,3.591796875
3E1A0BAC4372,3.25390625,3.439453125,3.44140625,3.416015625,3.650390625,3.595703125
D5E3716C5E49,3.376953125,3.3359375,3.416015625,3.33984375,3.4609375,3.42578125
623B7BD7613C,3.51953125,3.57421875,3.998046875,3.765625,3.80859375,3.77734375
E0ED97D6F88B,2.8671875,2.62109375,2.927734375,2.849609375,2.79296875,2.5390625
4000ADB040FE,2.537109375,2.439453125,2.748046875,2.421875,2.318359375,2.603515625
7EB7BB90A2F0,2.947265625,2.865234375,3.072265625,2.92578125,2.75390625,2.83984375
6886DF2A98BE,3.23046875,3.3515625,3.412109375,3.41796875,3.638671875,3.384765625
6D728858E86F,3.09375,3.046875,3.0546875,2.89453125,2.748046875,3.13671875
E98FABC326F7,2.86328125,2.708984375,3.115234375,2.974609375,3.0234375,2.84765625
5A89482533D9,2.64453125,2.466796875,2.73828125,2.537109375,2.357421875,2.171875
747E3560442E,3.3046875,3.193359375,3.3515625,3.1953125,3.20703125,3.34765625
3A38B9DD6723,3.41015625,3.53515625,3.689453125,3.548828125,3.54296875,3.830078125
5AEAF1C7B87C,3.32421875,3.251953125,3.380859375,3.357421875,3.212890625,3.421875
F869B38F3A89,2.71484375,2.654296875,2.84375,2.55859375,2.37109375,2.71875
71131D46F019,3.7265625,3.62109375,3.5234375,3.521484375,3.654296875,3.623046875
C0643251A96A,2.572265625,2.365234375,2.7578125,2.744140625,2.712890625,2.140625
A22BC15DDB95,3.53125,3.46875,3.427734375,3.3359375,3.19921875,3.646484375
ACA08DBF39EE,2.48046875,2.2109375,2.53125,2.1328125,2.033203125,2.30859375
423B413192FA,3.36328125,3.0234375,3.22265625,3.169921875,2.994140625,3.10546875
20CF9410DC4A,3.400390625,3.12890625,3.330078125,3.1796875,2.8984375,3.3203125
41BB825BAEBB,2.89453125,2.85546875,3.2265625,3.16796875,3.236328125,3.09375
9C7B4130AA3E,3.431640625,3.611328125,3.548828125,3.623046875,3.58984375,3.818359375
B39F335086FB,2.96484375,2.71484375,3.0078125,2.76171875,2.6640625,2.94921875
F7CC31D47F06,3.265625,3.34765625,3.3515625,3.328125,3.5078125,3.529296875
F75BD3928377,2.798828125,2.599609375,2.845703125,2.416015625,2.228515625,2.666015625
4D3CF318797A,3.806640625,3.7890625,3.82421875,3.947265625,3.986328125,3.97265625
F998E8BD71CF,3.083984375,3.0390625,3.189453125,3.251953125,3.3125,3.16015625
63C74FF7DB27,2.6328125,2.40625,2.60546875,2.31640625,2.16796875,2.224609375
FE3CA06DDCA1,3.0703125,3.02734375,3.095703125,3.09375,3.146484375,3.06640625
1DFAE221EE14,3.423828125,3.439453125,3.28125,3.404296875,3.349609375,3.146484375
6E248B1F33B0,3.23046875,3.166015625,3.29296875,3.140625,2.87109375,3.345703125
EA105A8B8699,2.685546875,2.5390625,2.896484375,2.974609375,2.970703125,2.53125
0AF4F757FBEA,2.849609375,2.4609375,2.81640625,2.466796875,2.2578125,2.869140625
39776B3A4C70,2.931640625,2.720703125,3.138671875,2.978515625,2.89453125,2.962890625
B41ED2C0C016,3.12109375,2.986328125,3.248046875,3.228515625,3.453125,3.056640625
49F54A35F6F3,3.927734375,3.884765625,3.9921875,3.943359375,4.09765625,4.09765625
2E98035B8362,3.28515625,3.3359375,3.453125,3.330078125,3.591796875,3.513671875
F8FE41D805D0,3.55859375,3.525390625,3.431640625,3.48828125,3.3671875,3.2265625
E883A8265183,3.107421875,2.951171875,3.103515625,3.123046875,2.9296875,2.916015625
CE246FE2471F,3.2734375,3.0234375,3.361328125,3.294921875,3.185546875,3.2109375
2723DB12AC00,3.310546875,3.224609375,3.37109375,3.359375,3.263671875,2.970703125
6A47B80F3283,2.7109375,2.443359375,2.744140625,2.53515625,2.376953125,2.431640625
8773AAFA4355,3.583984375,3.505859375,3.521484375,3.51953125,3.64453125,3.560546875
5D12067722AD,3.48828125,3.611328125,3.525390625,3.56640625,3.92578125,3.546875
A1DC92E4E3C8,3.8984375,3.892578125,4.0859375,4.0390625,4.04296875,3.86328125
3F722ACC887E,2.724609375,2.533203125,2.7890625,2.626953125,2.56640625,2.900390625
443AA4F38C8B,2.623046875,2.443359375,2.7734375,2.498046875,2.28125,2.484375
F6AEEC01F174,2.857421875,2.935546875,3.0234375,2.802734375,2.814453125,3.20703125
371739A95793,2.724609375,2.53125,2.94921875,2.765625,2.5859375,2.92578125
BC1F1C37721E,3.416015625,3.341796875,3.544921875,3.333984375,3.39453125,3.640625
D5916B1F52BB,2.494140625,2.345703125,2.724609375,2.73828125,2.642578125,2.505859375
EF4966D17FFB,3.333984375,3.22265625,3.265625,3.2109375,3.140625,3.53125
FE1D0E5EA2EB,3.046875,3.029296875,3.16015625,3.224609375,3.2578125,2.65234375
EFE2BC73A573,3.162109375,2.974609375,3.06640625,2.859375,2.64453125,3.12890625
