text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.51171875,2.4765625,2.556640625,2.267578125,2.61328125,2.482421875
9A24CB0724FE,2.466796875,2.560546875,2.669921875,2.3671875,2.966796875,2.935546875
CEC71375C061,2.46875,2.5859375,2.646484375,2.462890625,2.89453125,2.896484375
457A4416559B,2.087890625,2.0703125,2.3203125,1.9716796875,1.9990234375,2.10546875
DBAB680CBC5D,2.654296875,2.85546875,2.9609375,2.7265625,2.9921875,3.07421875
F8BA702A8450,2.984375,3.03515625,3.033203125,2.89453125,3.1328125,3.01953125
CBDE3C526D05,2.59375,2.7890625,2.751953125,2.783203125,2.986328125,2.755859375
0E22A47D358E,2.265625,2.259765625,2.380859375,2.2890625,2.25390625,2.318359375
B0DFC5E93591,1.662109375,1.70703125,1.70703125,1.5849609375,1.642578125,1.7861328125
E80B0AD2A9D7,2.248046875,2.052734375,2.275390625,2.02734375,2.009765625,2.85546875
38CADC812CBA,2.568359375,2.62890625,2.857421875,2.55078125,2.86328125,3.142578125
E4298EE64777,2.5390625,2.8203125,2.91796875,2.67578125,2.87109375,2.55859375
4E1C62576A76,2.62890625,2.640625,2.958984375,2.74609375,2.61328125,2.65234375
D9130F5402F6,2.80078125,2.9140625,3.025390625,3.0078125,3.234375,2.875
F144EA4BE505,1.37890625,1.408203125,1.6015625,1.4736328125,1.50390625,1.2451171875
E877D5AD16DA,2.45703125,2.658203125,2.806640625,2.734375,3.00390625,2.572265625
E0BABC4506D0,3.01953125,2.8125,3.1015625,2.822265625,2.728515625,3.171875
E5621447B675,2.59375,2.41015625,2.61328125,2.3359375,2.556640625,2.185546875
EC3F3F26E635,2.96484375,3.16015625,3.099609375,3.265625,3.37890625,3.19140625
91B88A23A5E4,2.90625,2.91015625,3.16796875,3.009765625,3.115234375,2.931640625
F0E76CC2EF7A,3.25,3.33203125,3.310546875,3.4140625,3.42578125,3.677734375
C1C75CB3BB17,3.01171875,3.0,3.025390625,2.8984375,2.91015625,3.2265625
0CFDDC1CF75A,2.52734375,2.609375,2.78125,2.541015625,2.548828125,2.708984375
0420DDE0BABD,2.431640625,2.2421875,2.66796875,2.4375,2.322265625,2.2421875
79098D096CB8,2.35546875,2.54296875,2.6328125,2.32421875,2.431640625,2.6328125
C5CA6C22BAFE,2.595703125,2.607421875,2.80078125,2.80078125,2.865234375,2.64453125
A4DA4201903F,1.9306640625,1.83203125,2.43359375,2.185546875,1.97265625,1.8349609375
4C1C3000E7C6,2.05078125,1.8505859375,2.513671875,2.19140625,2.029296875,2.087890625
375ABFC3D6F5,3.29296875,3.455078125,3.6328125,3.42578125,3.435546875,3.74609375
FF197A6B15B2,2.43359375,2.46875,2.810546875,2.75390625,2.421875,2.5
287BE4F26530,2.53125,2.015625,2.80078125,2.193359375,1.7900390625,2.0
E0BDF62838F7,2.54296875,2.80859375,2.92578125,2.982421875,3.1796875,2.97265625
306796D0279E,2.7421875,2.47265625,2.6640625,2.53515625,2.421875,2.810546875
757C5E55BA96,2.84765625,2.9140625,2.92578125,2.859375,3.01171875,2.904296875
4D377B163021,2.486328125,2.45703125,3.033203125,2.94140625,2.939453125,2.57421875
0B84A2B37B65,2.2421875,2.19921875,2.560546875,2.28125,2.32421875,2.404296875
61471CA2532D,2.294921875,2.01953125,2.298828125,2.119140625,1.966796875,2.123046875
E0DF99CD1D9C,2.435546875,2.5390625,2.5703125,2.611328125,2.556640625,2.5625
B3241FAB44C9,3.58203125,3.623046875,3.658203125,3.736328125,4.07421875,3.98828125
B83DD09D3129,2.66015625,2.62109375,2.6875,2.5703125,2.5234375,2.4375
DAF9AC30424E,2.796875,2.744140625,2.7890625,2.9375,3.0859375,2.724609375
48837626943D,2.58203125,2.625,3.01171875,2.896484375,2.8828125,2.78125
D4A38C52F57D,3.24609375,3.4296875,3.375,3.49609375,3.693359375,3.42578125
A2BA5F95C077,3.025390625,2.765625,3.0625,2.693359375,2.671875,3.08203125
DF8B648769C5,2.896484375,2.7421875,2.89453125,2.57421875,2.333984375,2.828125
CDABA09822C7,2.732421875,2.4140625,2.693359375,2.384765625,2.23046875,2.6328125
8D160B0BC04B,3.056640625,3.3046875,3.470703125,3.62890625,3.35546875,3.498046875
6013DA298542,2.49609375,2.55078125,2.865234375,2.755859375,2.591796875,2.54296875
DDD1A1F08FDF,2.484375,2.58984375,2.9453125,2.869140625,2.919921875,2.587890625
4843C41AAF24,2.69140625,2.7109375,3.111328125,2.93359375,3.09765625,2.919921875
46BB96D9BC9B,2.8828125,2.93359375,3.0546875,3.021484375,2.98046875,3.0
F86C79CE78F4,2.30859375,2.046875,2.3359375,2.111328125,2.06640625,2.494140625
4E59508F6D0B,2.70703125,2.59765625,2.58984375,2.68359375,2.626953125,2.537109375
9E1DFDF33C0B,3.34765625,3.5,3.26171875,3.236328125,3.48828125,3.43359375
96F4AB949807,1.9697265625,1.8876953125,2.22265625,1.96484375,1.966796875,1.6953125
60AEEA05E1A9,2.73046875,2.353515625,2.7890625,2.6640625,2.734375,2.54296875
824896E8F91B,2.255859375,2.2265625,2.75390625,2.453125,2.6328125,2.517578125
D6504339A690,2.9140625,2.9921875,2.998046875,3.11328125,3.22265625,3.041015625
FFD29828A873,2.55078125,2.5078125,2.77734375,2.76171875,2.72265625,2.22265625
82CCCAD3BA5B,2.541015625,2.49609375,2.63671875,2.548828125,2.458984375,2.28125
56AC4BE71C2F,2.7421875,2.6640625,3.05078125,2.849609375,2.904296875,2.9296875
E792CBEB06C5,3.134765625,3.15234375,3.220703125,3.23046875,3.06640625,3.44921875
F7DD6134C693,2.75390625,2.41796875,2.619140625,2.388671875,2.15625,2.375
06737289651D,2.142578125,1.908203125,2.416015625,2.10546875,1.87890625,1.8193359375
C8D7D7FA3008,2.640625,2.3359375,2.69921875,2.443359375,2.40625,2.54296875
F50C9936F416,3.046875,2.9140625,3.158203125,3.12890625,3.1796875,3.21484375
DA8E64EC1304,2.6796875,2.560546875,2.638671875,2.5078125,2.4765625,2.296875
E897534557AF,3.1796875,3.20703125,3.236328125,3.146484375,3.08984375,3.3125
0D8EC8868869,1.6005859375,1.6953125,1.95703125,1.7646484375,1.77734375,1.8076171875
D93EC6A7E859,1.8828125,1.650390625,2.169921875,1.982421875,1.783203125,1.5966796875
2C0F002E8882,2.767578125,2.6953125,2.828125,2.591796875,2.6875,2.67578125
C7A28C7A3786,1.7890625,1.85546875,2.287109375,2.109375,2.11328125,1.9140625
6B56C630FFC5,2.71875,2.6875,2.78515625,2.6328125,2.70703125,2.974609375
D242BBCBEAFB,2.669921875,2.94140625,3.01171875,2.75,2.9375,3.41015625
064423D845B1,2.91796875,2.88671875,3.017578125,2.828125,2.732421875,3.0625
CF7AF5FA5DDC,3.7109375,3.748046875,3.7421875,3.853515625,3.697265625,3.85546875
00D281524375,2.9296875,2.896484375,2.95703125,3.162109375,2.9765625,2.552734375
7820048B53C8,2.990234375,3.0390625,3.203125,3.236328125,3.18359375,2.958984375
3E500A5390C1,2.015625,2.08984375,2.388671875,2.359375,2.189453125,2.03515625
833489139971,3.1484375,3.26171875,3.2421875,3.30859375,3.30859375,3.2734375
B1D135A74E3D,2.63671875,2.453125,2.888671875,2.552734375,2.421875,2.71484375
