text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.326171875,2.376953125,2.6171875,2.2265625,2.599609375,2.6328125
9A24CB0724FE,2.2421875,2.5,2.71484375,2.205078125,2.64453125,2.93359375
CEC71375C061,2.345703125,2.515625,2.640625,2.41796875,2.78125,2.740234375
457A4416559B,2.0625,2.13671875,2.146484375,1.919921875,2.24609375,2.203125
DBAB680CBC5D,2.703125,2.810546875,2.890625,2.705078125,3.015625,3.005859375
F8BA702A8450,2.921875,2.9375,3.10546875,2.859375,2.9921875,3.109375
CBDE3C526D05,2.5546875,2.59765625,2.833984375,2.619140625,2.8984375,2.77734375
0E22A47D358E,2.2109375,2.2421875,2.35546875,2.255859375,2.23828125,2.24609375
B0DFC5E93591,1.5859375,1.693359375,1.923828125,1.748046875,1.734375,1.8291015625
E80B0AD2A9D7,2.080078125,2.09375,2.38671875,2.072265625,1.970703125,2.66796875
38CADC812CBA,2.541015625,2.583984375,2.7890625,2.529296875,2.7421875,2.94921875
E4298EE64777,2.80078125,2.845703125,2.90234375,2.7578125,2.896484375,2.599609375
4E1C62576A76,2.69140625,2.5390625,2.76171875,2.7578125,2.734375,2.560546875
D9130F5402F6,2.599609375,2.82421875,3.015625,2.875,3.205078125,2.93359375
F144EA4BE505,1.576171875,1.6396484375,1.765625,1.6962890625,1.7080078125,1.435546875
E877D5AD16DA,2.703125,2.81640625,3.154296875,2.98046875,2.89453125,2.890625
E0BABC4506D0,3.025390625,2.921875,3.111328125,2.90234375,2.85546875,3.171875
E5621447B675,2.701171875,2.5234375,2.595703125,2.41796875,2.609375,2.234375
EC3F3F26E635,2.8984375,3.1953125,3.181640625,3.28125,3.513671875,3.095703125
91B88A23A5E4,2.8046875,2.888671875,3.154296875,2.96875,3.08984375,3.0859375
F0E76CC2EF7A,3.111328125,3.37109375,3.30859375,3.36328125,3.5390625,3.646484375
C1C75CB3BB17,3.013671875,2.9296875,3.07421875,2.955078125,3.01953125,3.20703125
0CFDDC1CF75A,2.36328125,2.6015625,2.703125,2.4921875,2.583984375,2.69921875
0420DDE0BABD,2.423828125,2.357421875,2.70703125,2.484375,2.359375,2.349609375
79098D096CB8,2.32421875,2.3828125,2.611328125,2.400390625,2.4375,2.447265625
C5CA6C22BAFE,2.59375,2.66796875,2.85546875,2.7578125,2.86328125,2.66015625
