text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.244140625,2.279296875,2.52734375,2.234375,2.4609375,2.658203125
9A24CB0724FE,2.265625,2.5,2.76171875,2.494140625,2.865234375,3.138671875
CEC71375C061,2.373046875,2.607421875,2.6640625,2.6171875,2.916015625,2.919921875
457A4416559B,1.9697265625,2.0546875,2.103515625,1.8798828125,2.126953125,2.28515625
DBAB680CBC5D,2.58984375,2.609375,2.75,2.62890625,2.849609375,2.986328125
F8BA702A8450,2.609375,2.697265625,2.85546875,2.73828125,2.9296875,3.052734375
CBDE3C526D05,2.51953125,2.455078125,2.775390625,2.58203125,2.845703125,2.529296875
0E22A47D358E,2.234375,2.146484375,2.3046875,2.21484375,2.224609375,2.220703125
B0DFC5E93591,1.6298828125,1.71484375,1.9150390625,1.7099609375,1.8271484375,1.8271484375
E80B0AD2A9D7,2.048828125,2.078125,2.470703125,2.048828125,2.080078125,2.705078125
38CADC812CBA,2.509765625,2.525390625,2.765625,2.537109375,2.767578125,2.9453125
E4298EE64777,2.69921875,2.705078125,2.876953125,2.787109375,2.89453125,2.587890625
4E1C62576A76,2.611328125,2.53125,2.78125,2.5625,2.61328125,2.677734375
D9130F5402F6,2.59765625,2.70703125,2.892578125,2.912109375,3.162109375,2.833984375
F144EA4BE505,1.466796875,1.591796875,1.7841796875,1.587890625,1.80859375,1.474609375
E5621447B675,2.65625,2.509765625,2.583984375,2.439453125,2.625,2.26171875
F0E76CC2EF7A,3.01171875,3.26953125,3.166015625,3.234375,3.474609375,3.611328125
E877D5AD16DA,2.7265625,2.771484375,2.982421875,2.916015625,2.98046875,2.88671875
E0BABC4506D0,3.02734375,2.857421875,3.06640625,2.8515625,2.83984375,3.21484375
0CFDDC1CF75A,2.30859375,2.419921875,2.7265625,2.537109375,2.501953125,2.609375
79098D096CB8,2.333984375,2.439453125,2.701171875,2.447265625,2.48046875,2.62109375
C1C75CB3BB17,2.685546875,2.685546875,2.876953125,2.6640625,2.734375,3.001953125
EC3F3F26E635,3.0390625,3.2109375,3.2109375,3.404296875,3.66796875,3.17578125
91B88A23A5E4,2.87109375,2.837890625,3.171875,3.083984375,3.158203125,3.09375
375ABFC3D6F5,3.216796875,3.380859375,3.587890625,3.365234375,3.513671875,3.703125
4C1C3000E7C6,2.1953125,2.0546875,2.578125,2.24609375,2.154296875,2.19140625
C5CA6C22BAFE,2.482421875,2.51171875,2.8125,2.66796875,2.755859375,2.54296875
D4A38C52F57D,3.306640625,3.423828125,3.580078125,3.693359375,3.955078125,3.546875
0420DDE0BABD,2.37109375,2.30078125,2.705078125,2.5,2.421875,2.35546875
E0DF99CD1D9C,2.375,2.48828125,2.595703125,2.51953125,2.603515625,2.435546875
757C5E55BA96,2.876953125,2.9765625,2.912109375,2.939453125,3.095703125,2.88671875
DF8B648769C5,3.052734375,2.77734375,2.947265625,2.71484375,2.63671875,2.951171875
A4DA4201903F,1.9208984375,1.8828125,2.3046875,2.060546875,1.9462890625,1.8779296875
B83DD09D3129,2.607421875,2.513671875,2.7265625,2.513671875,2.478515625,2.4375
B3241FAB44C9,3.498046875,3.61328125,3.591796875,3.759765625,4.19140625,3.92578125
E0BDF62838F7,2.759765625,2.794921875,3.0546875,2.900390625,3.12109375,3.078125
9E1DFDF33C0B,3.125,3.205078125,3.228515625,3.216796875,3.333984375,3.154296875
0B84A2B37B65,2.26171875,2.216796875,2.55859375,2.33203125,2.390625,2.578125
61471CA2532D,2.361328125,2.111328125,2.47265625,2.134765625,1.998046875,2.248046875
DAF9AC30424E,2.80078125,2.75,2.767578125,2.89453125,3.203125,2.828125
4D377B163021,2.470703125,2.484375,2.919921875,2.873046875,2.869140625,2.560546875
FF197A6B15B2,2.5859375,2.578125,2.947265625,2.8359375,2.865234375,2.767578125
306796D0279E,2.57421875,2.478515625,2.740234375,2.517578125,2.435546875,2.60546875
48837626943D,2.65625,2.666015625,2.970703125,2.875,3.025390625,2.771484375
287BE4F26530,2.55078125,2.369140625,2.734375,2.5546875,2.47265625,2.51171875
CDABA09822C7,2.716796875,2.4765625,2.849609375,2.548828125,2.3359375,2.578125
A2BA5F95C077,2.994140625,2.78125,3.029296875,2.7890625,2.783203125,3.052734375
DDD1A1F08FDF,2.541015625,2.59765625,2.873046875,2.8203125,2.84375,2.58203125
8D160B0BC04B,3.13671875,3.3515625,3.65234375,3.658203125,3.66796875,3.42578125
4843C41AAF24,2.712890625,2.6953125,3.107421875,2.94140625,3.072265625,2.953125
46BB96D9BC9B,2.833984375,2.93359375,3.06640625,3.072265625,2.876953125,3.095703125
4E59508F6D0B,2.705078125,2.654296875,2.822265625,2.6875,2.669921875,2.59375
6013DA298542,2.63671875,2.560546875,2.900390625,2.697265625,2.869140625,2.509765625
82CCCAD3BA5B,2.564453125,2.412109375,2.712890625,2.580078125,2.462890625,2.3046875
F86C79CE78F4,2.296875,2.115234375,2.5234375,2.1484375,2.087890625,2.48828125
D6504339A690,2.8359375,2.888671875,2.947265625,3.080078125,3.3046875,2.947265625
E897534557AF,3.0546875,3.05859375,3.28515625,3.0859375,2.923828125,3.171875
FFD29828A873,2.625,2.564453125,2.990234375,2.876953125,2.90625,2.314453125
E792CBEB06C5,2.966796875,2.927734375,3.15234375,3.078125,3.22265625,3.37890625
2C0F002E8882,2.6796875,2.560546875,2.810546875,2.599609375,2.603515625,2.640625
C7A28C7A3786,2.01171875,2.052734375,2.30859375,2.158203125,2.22265625,2.048828125
56AC4BE71C2F,2.701171875,2.693359375,2.962890625,2.876953125,2.962890625,2.8125
824896E8F91B,2.2421875,2.328125,2.740234375,2.533203125,2.6875,2.564453125
DA8E64EC1304,2.76171875,2.607421875,2.732421875,2.587890625,2.634765625,2.423828125
D242BBCBEAFB,2.755859375,2.798828125,2.919921875,2.7265625,2.9453125,3.294921875
FE7BFE19D977,3.029296875,2.869140625,2.98828125,2.76171875,2.876953125,2.7109375
96F4AB949807,2.0703125,1.921875,2.251953125,2.044921875,2.060546875,1.8291015625
24615FD199BE,3.015625,3.138671875,3.1953125,3.19140625,3.447265625,3.291015625
EF36F9497E96,3.02734375,2.970703125,3.02734375,2.8984375,2.814453125,3.185546875
10D2D1173D36,3.541015625,3.5390625,3.576171875,3.44140625,3.75390625,3.9609375
833489139971,3.2734375,3.173828125,3.263671875,3.267578125,3.330078125,3.240234375
F7DD6134C693,2.65234375,2.466796875,2.689453125,2.431640625,2.23046875,2.423828125
