text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
F69C85F4C3CA,1.541015625,1.6572265625,2.216796875,1.7587890625,2.0859375,2.04296875
72766FE38307,1.9228515625,1.9609375,2.205078125,1.9609375,2.13671875,2.189453125
B046D31B68F0,2.65625,2.734375,2.84375,2.705078125,2.974609375,2.984375
ECE377D2E967,2.548828125,2.615234375,2.759765625,2.501953125,2.673828125,2.97265625
AEE8A576989C,2.09375,2.056640625,2.353515625,2.087890625,2.189453125,2.30078125
AEF788DA28DE,2.9453125,3.0234375,3.1328125,3.087890625,3.19140625,3.21484375
F7B655834981,1.478515625,1.501953125,1.7861328125,1.6337890625,1.7861328125,1.423828125
833F25175AFC,2.595703125,2.607421875,2.81640625,2.669921875,2.775390625,2.541015625
92E97E947628,3.00390625,3.029296875,3.185546875,3.04296875,2.9375,3.126953125
EC3F3F26E635,3.076171875,3.279296875,3.24609375,3.3203125,3.529296875,3.150390625
C5CA6C22BAFE,2.537109375,2.537109375,2.80859375,2.693359375,2.748046875,2.54296875
0420DDE0BABD,2.369140625,2.326171875,2.65234375,2.453125,2.447265625,2.30078125
E0DF99CD1D9C,2.421875,2.517578125,2.634765625,2.548828125,2.62890625,2.451171875
BA57C427DB35,2.822265625,2.91015625,3.140625,3.056640625,3.21484375,3.00390625
9725E454418F,2.255859375,2.15234375,2.392578125,2.091796875,2.1328125,2.181640625
5A74C94F9813,2.34765625,2.42578125,2.79296875,2.65234375,2.8359375,2.62109375
E69D5E1FEAB4,2.9296875,2.96875,3.146484375,3.087890625,2.908203125,2.802734375
DDD1A1F08FDF,2.576171875,2.681640625,2.861328125,2.81640625,2.880859375,2.595703125
D03BCE849DEA,2.61328125,2.68359375,2.814453125,2.7421875,2.923828125,2.630859375
C38334385924,2.744140625,2.802734375,2.962890625,2.89453125,2.955078125,2.8671875
F86C79CE78F4,2.27734375,2.11328125,2.427734375,2.103515625,2.048828125,2.384765625
16B9EB49892E,2.228515625,2.17578125,2.404296875,2.140625,2.17578125,2.357421875
E897534557AF,3.099609375,3.0625,3.25390625,3.083984375,3.05078125,3.162109375
C7A28C7A3786,2.08984375,2.0859375,2.318359375,2.18359375,2.263671875,2.041015625
681B9CD21B07,3.248046875,3.205078125,3.30078125,3.2734375,3.4453125,3.3046875
E7F9A77683D2,2.736328125,2.875,3.00390625,3.033203125,3.283203125,3.0
FE700406E7D4,2.50390625,2.35546875,2.5703125,2.34765625,2.3515625,2.544921875
48940AA0656E,3.076171875,2.9375,3.029296875,2.837890625,2.9453125,2.990234375
6B56C630FFC5,2.69921875,2.625,2.84375,2.623046875,2.669921875,2.95703125
F7E78C064324,2.154296875,2.14453125,2.453125,2.197265625,2.1875,2.318359375
0D8EC8868869,1.6650390625,1.6044921875,1.984375,1.740234375,1.8076171875,1.67578125
31D67F9A82BA,3.296875,3.232421875,3.40234375,3.162109375,3.37890625,3.544921875
C2D40AF42A53,2.685546875,2.62890625,2.853515625,2.623046875,2.73828125,3.0234375
3567E4ED2023,2.4921875,2.421875,2.697265625,2.3828125,2.28125,2.7109375
D1EB6E3F8A28,2.91796875,2.90234375,3.111328125,2.970703125,2.859375,3.05859375
B379CB700CCD,2.841796875,2.7265625,2.943359375,2.88671875,2.890625,2.6953125
AC7AB280A93C,3.240234375,3.27734375,3.41796875,3.388671875,3.39453125,3.421875
C045A27AFE82,2.681640625,2.587890625,2.61328125,2.619140625,2.70703125,2.15625
861349CA778E,3.1484375,3.142578125,3.19140625,3.267578125,3.537109375,3.369140625
0C8D699DEE90,1.744140625,1.6279296875,2.00390625,1.728515625,1.7216796875,1.73828125
3D3C80EF2AAA,2.91015625,2.72265625,2.78515625,2.751953125,2.783203125,2.349609375
F1883C3A8C1E,3.091796875,2.97265625,3.16015625,3.1015625,3.0703125,2.974609375
5AAD796F4D6B,2.861328125,2.876953125,3.109375,3.00390625,3.103515625,2.939453125
FF4CBDA0E418,3.080078125,2.931640625,3.171875,3.072265625,2.990234375,2.958984375
90BF447C6E83,2.662109375,2.4765625,2.68359375,2.560546875,2.599609375,2.228515625
66133AC6189A,2.8828125,2.728515625,2.923828125,2.765625,2.806640625,2.73828125
745F880CEFA7,3.26953125,3.48828125,3.501953125,3.556640625,3.693359375,3.53515625
3E750EB9F5C5,2.443359375,2.591796875,2.71484375,2.705078125,2.87890625,2.630859375
973B1ACD7430,3.576171875,3.419921875,3.4140625,3.548828125,3.859375,3.37109375
F2A97549C778,3.705078125,3.80078125,3.732421875,3.943359375,4.015625,3.68359375
CEC6870D564F,2.904296875,2.5546875,2.796875,2.4609375,2.380859375,2.6953125
C3E8D00403D9,3.50390625,3.638671875,3.65234375,3.5859375,3.74609375,3.880859375
C6EE9996089C,2.615234375,2.333984375,2.662109375,2.3359375,2.30859375,2.58203125
AF71C89CD199,2.810546875,2.826171875,2.83203125,2.810546875,2.83984375,2.69921875
F9C96F25D515,3.0546875,3.087890625,3.201171875,3.14453125,3.275390625,3.0625
DF64D7FF61F1,3.02734375,2.939453125,2.912109375,2.806640625,2.9921875,3.0546875
71BA665B1B31,3.326171875,3.2734375,3.271484375,3.3125,3.50390625,3.251953125
CA8C0B2EA600,3.166015625,3.123046875,3.25,3.248046875,3.404296875,3.16796875
5D742A0E0623,2.8515625,2.591796875,2.802734375,2.712890625,2.626953125,2.443359375
FC7F226294EE,2.904296875,2.8203125,2.951171875,2.978515625,2.9765625,2.390625
C8CFF17BCD6A,2.837890625,2.826171875,2.873046875,2.8203125,2.890625,3.099609375
54AC60510DC3,3.201171875,3.02734375,3.064453125,2.884765625,2.935546875,3.37890625
E98862049B2E,2.623046875,2.73046875,3.025390625,2.88671875,2.859375,2.875
960D7C072801,2.9921875,3.125,3.193359375,3.10546875,3.240234375,3.251953125
DF1D43973CFA,2.5703125,2.484375,2.583984375,2.330078125,2.34375,2.724609375
07D5647B11AE,2.73046875,2.564453125,2.8125,2.5859375,2.43359375,2.41015625
5F8F76B7A6FD,2.720703125,2.58984375,2.86328125,2.75,2.65625,2.5859375
263A29FC4FB1,2.9921875,2.96875,3.162109375,3.16015625,3.2265625,3.150390625
A336FB5F2623,3.134765625,2.921875,3.1953125,3.09765625,2.953125,3.10546875
C277BE295A41,3.5234375,3.59765625,3.7109375,3.6328125,3.61328125,3.748046875
F0B44890C961,3.13671875,3.05859375,3.142578125,3.08984375,2.935546875,3.0625
EE9EA950AAE1,2.71875,2.486328125,2.775390625,2.578125,2.603515625,2.533203125
FC86782120D3,2.501953125,2.599609375,2.921875,2.8125,2.875,2.76953125
D92BFF2AC7FD,3.560546875,3.439453125,3.533203125,3.447265625,3.330078125,3.37109375
8415937CA4D9,3.099609375,2.974609375,3.275390625,3.291015625,3.244140625,2.951171875
64B53DEF0467,2.833984375,2.6953125,2.880859375,2.654296875,2.6328125,2.73828125
BEFC24511B26,2.75390625,2.576171875,2.728515625,2.443359375,2.482421875,2.595703125
40331978F344,3.4921875,3.373046875,3.482421875,3.482421875,3.626953125,3.28515625
AAE16C990870,3.072265625,2.94921875,3.025390625,3.044921875,3.158203125,2.849609375
DEC2349902F8,2.521484375,2.486328125,2.787109375,2.6953125,2.771484375,2.525390625
BCEDACE63B48,2.822265625,2.6640625,2.693359375,2.58203125,2.625,2.41015625
F074C2FEC1AF,3.072265625,3.015625,3.208984375,3.21875,3.12109375,2.763671875
5EA0A8768F94,3.42578125,3.681640625,3.58984375,3.751953125,3.919921875,3.599609375
02B07248077F,2.1796875,2.029296875,2.375,2.20703125,2.05078125,1.9501953125
CB120B25B46E,3.345703125,3.205078125,3.294921875,3.11328125,2.984375,3.4609375
3E1A0BAC4372,3.12890625,3.294921875,3.318359375,3.341796875,3.478515625,3.392578125
D5E3716C5E49,3.306640625,3.25390625,3.326171875,3.275390625,3.384765625,3.283203125
623B7BD7613C,3.447265625,3.6015625,4.03515625,3.787109375,3.919921875,3.724609375
E0ED97D6F88B,2.927734375,2.705078125,2.978515625,2.857421875,2.859375,2.5625
4000ADB040FE,2.505859375,2.353515625,2.6484375,2.34765625,2.32421875,2.611328125
7EB7BB90A2F0,2.94921875,2.892578125,3.119140625,2.990234375,2.822265625,2.861328125
6886DF2A98BE,3.220703125,3.37109375,3.419921875,3.431640625,3.662109375,3.447265625
6D728858E86F,3.08203125,2.91796875,2.994140625,2.841796875,2.75390625,3.08203125
E98FABC326F7,2.802734375,2.732421875,3.029296875,2.904296875,2.96484375,2.748046875
5A89482533D9,2.7265625,2.494140625,2.740234375,2.560546875,2.46875,2.158203125
747E3560442E,3.298828125,3.205078125,3.318359375,3.150390625,3.177734375,3.3515625
3A38B9DD6723,3.369140625,3.51953125,3.658203125,3.544921875,3.580078125,3.734375
5AEAF1C7B87C,3.45703125,3.34375,3.51171875,3.4140625,3.279296875,3.47265625
F869B38F3A89,2.658203125,2.578125,2.734375,2.4765625,2.36328125,2.6796875
71131D46F019,3.689453125,3.533203125,3.5,3.529296875,3.607421875,3.58984375
C0643251A96A,2.66015625,2.51953125,2.763671875,2.75,2.802734375,2.048828125
A22BC15DDB95,3.62890625,3.439453125,3.498046875,3.38671875,3.302734375,3.6875
ACA08DBF39EE,2.484375,2.099609375,2.419921875,2.064453125,2.04296875,2.2265625
423B413192FA,3.47265625,3.134765625,3.2578125,3.23828125,3.10546875,3.138671875
20CF9410DC4A,3.40234375,3.12890625,3.30859375,3.1171875,2.890625,3.28125
41BB825BAEBB,2.822265625,2.96484375,3.234375,3.173828125,3.208984375,3.15234375
9C7B4130AA3E,3.33984375,3.52734375,3.552734375,3.5625,3.388671875,3.783203125
B39F335086FB,2.9765625,2.734375,3.017578125,2.7734375,2.658203125,2.92578125
F7CC31D47F06,3.318359375,3.396484375,3.40234375,3.41796875,3.53125,3.505859375
F75BD3928377,2.73828125,2.5859375,2.810546875,2.388671875,2.2734375,2.7109375
4D3CF318797A,3.775390625,3.8828125,3.916015625,3.98046875,3.955078125,3.951171875
F998E8BD71CF,2.8671875,3.017578125,3.173828125,3.171875,3.234375,3.060546875
63C74FF7DB27,2.646484375,2.421875,2.587890625,2.357421875,2.22265625,2.298828125
FE3CA06DDCA1,3.107421875,3.10546875,3.1640625,3.12109375,3.119140625,3.087890625
1DFAE221EE14,3.427734375,3.49609375,3.41796875,3.458984375,3.40625,3.181640625
6E248B1F33B0,3.267578125,3.158203125,3.33203125,3.107421875,2.927734375,3.375
EA105A8B8699,2.75,2.677734375,2.970703125,2.994140625,3.0078125,2.501953125
