text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.197265625,2.263671875,2.48046875,2.115234375,2.458984375,2.525390625
9A24CB0724FE,2.392578125,2.51171875,2.81640625,2.447265625,2.833984375,3.017578125
CEC71375C061,2.431640625,2.625,2.658203125,2.546875,2.849609375,2.912109375
457A4416559B,1.966796875,2.0078125,2.099609375,1.822265625,2.0546875,2.14453125
DBAB680CBC5D,2.7109375,2.681640625,2.779296875,2.638671875,2.919921875,3.044921875
F8BA702A8450,2.716796875,2.771484375,2.90234375,2.732421875,2.984375,3.078125
CBDE3C526D05,2.78125,2.556640625,2.81640625,2.619140625,2.955078125,2.52734375
0E22A47D358E,2.19140625,2.18359375,2.388671875,2.236328125,2.263671875,2.2109375
B0DFC5E93591,1.6513671875,1.654296875,1.865234375,1.68359375,1.7607421875,1.759765625
E80B0AD2A9D7,2.107421875,1.990234375,2.380859375,2.05078125,2.056640625,2.6328125
38CADC812CBA,2.548828125,2.578125,2.7890625,2.533203125,2.787109375,2.9296875
E4298EE64777,2.837890625,2.705078125,2.81640625,2.796875,2.9375,2.5625
4E1C62576A76,2.79296875,2.595703125,2.8359375,2.591796875,2.70703125,2.76171875
D9130F5402F6,2.748046875,2.763671875,2.9140625,2.939453125,3.123046875,2.83984375
F144EA4BE505,1.455078125,1.509765625,1.7197265625,1.5595703125,1.658203125,1.33984375
E5621447B675,2.490234375,2.458984375,2.521484375,2.400390625,2.599609375,2.17578125
F0E76CC2EF7A,3.2421875,3.236328125,3.18359375,3.25390625,3.44140625,3.603515625
E877D5AD16DA,2.796875,2.802734375,2.95703125,2.908203125,3.0390625,2.875
E0BABC4506D0,2.9453125,2.8359375,3.041015625,2.818359375,2.783203125,3.1796875
0CFDDC1CF75A,2.345703125,2.458984375,2.708984375,2.556640625,2.513671875,2.630859375
79098D096CB8,2.33984375,2.4453125,2.6953125,2.427734375,2.4296875,2.611328125
C1C75CB3BB17,2.791015625,2.71875,2.890625,2.677734375,2.765625,3.02734375
EC3F3F26E635,2.9609375,3.224609375,3.19140625,3.3984375,3.583984375,3.1171875
91B88A23A5E4,3.029296875,2.908203125,3.21875,3.111328125,3.1640625,3.03515625
375ABFC3D6F5,3.23046875,3.423828125,3.640625,3.38671875,3.478515625,3.697265625
4C1C3000E7C6,2.158203125,1.990234375,2.564453125,2.244140625,2.119140625,2.11328125
C5CA6C22BAFE,2.47265625,2.458984375,2.775390625,2.6484375,2.671875,2.5
D4A38C52F57D,3.236328125,3.392578125,3.501953125,3.572265625,3.80859375,3.498046875
0420DDE0BABD,2.369140625,2.28125,2.689453125,2.478515625,2.390625,2.26953125
E0DF99CD1D9C,2.37890625,2.478515625,2.642578125,2.560546875,2.572265625,2.4140625
757C5E55BA96,2.869140625,2.953125,2.919921875,2.88671875,3.078125,2.900390625
DF8B648769C5,3.02734375,2.74609375,2.91015625,2.69140625,2.626953125,2.84375
A4DA4201903F,1.9365234375,1.8544921875,2.34375,2.150390625,2.009765625,1.841796875
B83DD09D3129,2.642578125,2.49609375,2.67578125,2.486328125,2.48828125,2.435546875
B3241FAB44C9,3.390625,3.5859375,3.58203125,3.68359375,4.06640625,3.9140625
E0BDF62838F7,2.80859375,2.767578125,3.041015625,2.857421875,3.0625,3.015625
9E1DFDF33C0B,3.22265625,3.25390625,3.2421875,3.20703125,3.4140625,3.3125
0B84A2B37B65,2.1875,2.125,2.505859375,2.27734375,2.3671875,2.41015625
61471CA2532D,2.3359375,2.08203125,2.404296875,2.0859375,1.98828125,2.2109375
DAF9AC30424E,2.93359375,2.744140625,2.794921875,2.908203125,3.19140625,2.771484375
