text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.34375,2.333984375,2.537109375,2.228515625,2.544921875,2.5625
9A24CB0724FE,2.59375,2.638671875,2.830078125,2.484375,2.890625,3.09375
CEC71375C061,2.3125,2.58203125,2.65625,2.443359375,2.900390625,2.857421875
457A4416559B,2.33203125,2.306640625,2.236328125,2.00390625,2.29296875,2.369140625
DBAB680CBC5D,2.953125,2.921875,2.9765625,2.83984375,3.142578125,3.099609375
F8BA702A8450,2.888671875,2.84765625,2.99609375,2.806640625,2.88671875,3.087890625
CBDE3C526D05,2.771484375,2.587890625,2.849609375,2.673828125,2.90234375,2.470703125
0E22A47D358E,2.21875,2.251953125,2.333984375,2.169921875,2.1953125,2.48828125
B0DFC5E93591,1.7705078125,1.763671875,2.083984375,1.828125,1.8046875,1.83203125
E80B0AD2A9D7,2.244140625,2.095703125,2.501953125,2.1171875,2.1015625,2.580078125
38CADC812CBA,2.548828125,2.53125,2.708984375,2.431640625,2.689453125,3.04296875
E4298EE64777,2.66015625,2.626953125,2.751953125,2.658203125,2.84375,2.564453125
4E1C62576A76,2.845703125,2.55859375,2.81640625,2.59375,2.576171875,2.60546875
D9130F5402F6,2.66796875,2.765625,2.8671875,2.8671875,3.138671875,2.83984375
F144EA4BE505,1.333984375,1.4580078125,1.73828125,1.60546875,1.5693359375,1.369140625
E5621447B675,2.537109375,2.533203125,2.603515625,2.4375,2.69921875,2.271484375
F0E76CC2EF7A,3.22265625,3.2890625,3.255859375,3.26953125,3.533203125,3.53125
E877D5AD16DA,2.87109375,2.8359375,3.083984375,2.89453125,3.01953125,2.80859375
E0BABC4506D0,2.810546875,2.775390625,2.88671875,2.67578125,2.673828125,3.037109375
0CFDDC1CF75A,2.3515625,2.44921875,2.724609375,2.5390625,2.54296875,2.6171875
79098D096CB8,2.3203125,2.384765625,2.65625,2.384765625,2.33984375,2.609375
C1C75CB3BB17,3.078125,2.890625,2.951171875,2.841796875,2.8984375,3.115234375
EC3F3F26E635,3.19140625,3.119140625,3.189453125,3.341796875,3.48828125,3.078125
91B88A23A5E4,2.904296875,2.912109375,3.201171875,2.95703125,3.09765625,3.037109375
375ABFC3D6F5,3.091796875,3.283203125,3.43359375,3.208984375,3.453125,3.65234375
4C1C3000E7C6,2.064453125,1.9892578125,2.501953125,2.146484375,2.041015625,2.30859375
C5CA6C22BAFE,2.564453125,2.611328125,2.892578125,2.7734375,2.953125,2.65234375
D4A38C52F57D,3.26953125,3.486328125,3.458984375,3.576171875,3.84375,3.626953125
0420DDE0BABD,2.236328125,2.228515625,2.64453125,2.458984375,2.369140625,2.328125
E0DF99CD1D9C,2.3125,2.42578125,2.5390625,2.42578125,2.55078125,2.458984375
757C5E55BA96,2.876953125,2.90625,2.86328125,2.896484375,3.017578125,2.9375
DF8B648769C5,3.244140625,2.951171875,3.095703125,2.87109375,2.796875,3.0703125
A4DA4201903F,1.8505859375,1.8115234375,2.283203125,2.029296875,1.865234375,1.8076171875
B83DD09D3129,2.568359375,2.5078125,2.701171875,2.546875,2.509765625,2.4453125
B3241FAB44C9,3.525390625,3.6875,3.669921875,3.763671875,4.18359375,3.94921875
E0BDF62838F7,2.830078125,2.916015625,2.98046875,2.888671875,3.125,3.12109375
9E1DFDF33C0B,3.03125,3.12890625,3.1328125,3.138671875,3.357421875,3.169921875
0B84A2B37B65,2.1953125,2.287109375,2.55078125,2.2890625,2.376953125,2.5390625
61471CA2532D,2.3984375,2.15234375,2.47265625,2.177734375,2.140625,2.189453125
DAF9AC30424E,2.875,2.783203125,2.76953125,2.900390625,3.126953125,2.71484375
