text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.203125,2.322265625,2.529296875,2.259765625,2.60546875,2.669921875
9A24CB0724FE,2.39453125,2.5859375,2.767578125,2.529296875,2.90234375,3.068359375
CEC71375C061,2.34375,2.61328125,2.708984375,2.58984375,2.94140625,3.017578125
457A4416559B,2.263671875,2.294921875,2.19921875,2.150390625,2.455078125,2.4765625
DBAB680CBC5D,2.859375,2.912109375,2.955078125,2.916015625,3.154296875,3.107421875
F8BA702A8450,2.7265625,2.818359375,3.009765625,2.798828125,2.908203125,3.08984375
CBDE3C526D05,2.580078125,2.546875,2.798828125,2.685546875,2.87890625,2.564453125
0E22A47D358E,2.19140625,2.19921875,2.26953125,2.162109375,2.12890625,2.404296875
B0DFC5E93591,1.7626953125,1.7138671875,2.0859375,1.8359375,1.7998046875,1.896484375
E80B0AD2A9D7,2.154296875,2.01953125,2.4140625,2.03515625,2.005859375,2.5078125
38CADC812CBA,2.53125,2.58203125,2.802734375,2.546875,2.697265625,3.037109375
E4298EE64777,2.583984375,2.619140625,2.7578125,2.671875,2.876953125,2.564453125
4E1C62576A76,2.69140625,2.5234375,2.72265625,2.54296875,2.5625,2.525390625
D9130F5402F6,2.66015625,2.7734375,2.88671875,2.916015625,3.173828125,2.91015625
F144EA4BE505,1.4404296875,1.4736328125,1.8876953125,1.642578125,1.8203125,1.58203125
E5621447B675,2.603515625,2.564453125,2.626953125,2.525390625,2.7578125,2.25390625
F0E76CC2EF7A,3.171875,3.263671875,3.265625,3.275390625,3.482421875,3.49609375
E877D5AD16DA,2.759765625,2.818359375,3.0,2.916015625,3.05078125,2.828125
E0BABC4506D0,2.84375,2.802734375,2.939453125,2.7421875,2.69921875,3.068359375
0CFDDC1CF75A,2.37109375,2.453125,2.69140625,2.572265625,2.6015625,2.623046875
79098D096CB8,2.33203125,2.361328125,2.625,2.341796875,2.3359375,2.58984375
C1C75CB3BB17,2.84375,2.83203125,2.93359375,2.833984375,2.892578125,3.08984375
EC3F3F26E635,3.103515625,3.1796875,3.263671875,3.3515625,3.544921875,3.1015625
91B88A23A5E4,2.859375,2.92578125,3.16015625,2.984375,3.076171875,3.09765625
375ABFC3D6F5,3.10546875,3.197265625,3.37109375,3.119140625,3.26953125,3.48828125
4C1C3000E7C6,2.158203125,2.0078125,2.583984375,2.1640625,2.111328125,2.31640625
C5CA6C22BAFE,2.560546875,2.64453125,2.89453125,2.828125,2.9609375,2.669921875
