text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
7835355C55D8,2.158203125,2.1953125,2.478515625,2.23828125,2.453125,2.603515625
9A24CB0724FE,2.236328125,2.5,2.625,2.431640625,2.865234375,3.04296875
CEC71375C061,2.236328125,2.5625,2.572265625,2.490234375,2.91796875,2.904296875
457A4416559B,2.130859375,2.25390625,2.150390625,2.017578125,2.4296875,2.3671875
DBAB680CBC5D,2.787109375,2.845703125,2.943359375,2.8515625,3.0859375,3.0703125
F8BA702A8450,2.775390625,2.75,2.92578125,2.7578125,2.9375,3.087890625
CBDE3C526D05,2.56640625,2.462890625,2.7890625,2.65625,2.80859375,2.443359375
0E22A47D358E,2.02734375,2.0546875,2.189453125,2.08984375,2.111328125,2.412109375
B0DFC5E93591,1.725219964981079,1.7413625717163086,2.1328125,1.935546875,1.918757438659668,1.7761526107788086
E80B0AD2A9D7,2.19921875,2.0546875,2.4296875,2.0859375,2.115234375,2.453125
38CADC812CBA,2.478515625,2.5859375,2.744140625,2.4609375,2.69921875,3.05078125
E4298EE64777,2.62109375,2.55078125,2.73046875,2.6328125,2.79296875,2.5
4E1C62576A76,2.66796875,2.380859375,2.68359375,2.4609375,2.4296875,2.44140625
D9130F5402F6,2.619140625,2.64453125,2.830078125,2.80859375,3.0625,2.845703125
F144EA4BE505,1.3741424083709717,1.4151763916015625,1.8316879272460935,1.6603870391845703,1.7078628540039062,1.4043426513671875
E5621447B675,2.595703125,2.595703125,2.611328125,2.48828125,2.74609375,2.390625
F0E76CC2EF7A,3.111328125,3.298828125,3.23828125,3.244140625,3.51953125,3.50390625
E877D5AD16DA,2.841796875,2.798828125,3.0390625,2.888671875,3.001953125,2.80859375
E0BABC4506D0,2.876953125,2.8125,2.85546875,2.669921875,2.654296875,2.9921875
0CFDDC1CF75A,2.294921875,2.41015625,2.705078125,2.533203125,2.646484375,2.6484375
79098D096CB8,2.396484375,2.416015625,2.62890625,2.416015625,2.380859375,2.5859375
C1C75CB3BB17,2.876953125,2.755859375,2.943359375,2.8203125,2.912109375,3.015625
EC3F3F26E635,3.1953125,3.234375,3.23828125,3.44140625,3.5546875,3.0859375
91B88A23A5E4,2.953125,2.89453125,3.154296875,2.951171875,3.115234375,3.01171875
375ABFC3D6F5,3.068359375,3.22265625,3.419921875,3.12109375,3.37109375,3.548828125
4C1C3000E7C6,2.154296875,2.048828125,2.552734375,2.21484375,2.169921875,2.388671875
C5CA6C22BAFE,2.544921875,2.53515625,2.875,2.740234375,2.875,2.603515625
D4A38C52F57D,3.138671875,3.3515625,3.365234375,3.498046875,3.650390625,3.46875
0420DDE0BABD,2.296875,2.263671875,2.720703125,2.48828125,2.4296875,2.416015625
E0DF99CD1D9C,2.333984375,2.416015625,2.552734375,2.4453125,2.583984375,2.453125
757C5E55BA96,2.8984375,2.951171875,2.96875,3.033203125,3.111328125,2.927734375
DF8B648769C5,3.08203125,2.873046875,3.087890625,2.849609375,2.78125,3.033203125
A4DA4201903F,1.927734375,1.8662109375,2.326171875,2.056640625,1.9599609375,1.806001663208008
B83DD09D3129,2.53125,2.54296875,2.705078125,2.59765625,2.490234375,2.421875
B3241FAB44C9,3.49609375,3.662109375,3.59765625,3.72265625,4.04296875,3.841796875
E0BDF62838F7,2.806640625,2.86328125,3.0,2.8359375,3.076171875,3.05078125
9E1DFDF33C0B,3.08203125,3.1953125,3.203125,3.13671875,3.37109375,3.224609375
0B84A2B37B65,2.26953125,2.25,2.564453125,2.380859375,2.439453125,2.560546875
61471CA2532D,2.408203125,2.173828125,2.423828125,2.220703125,2.126953125,2.203125
DAF9AC30424E,2.724609375,2.6640625,2.75390625,2.869140625,3.08203125,2.796875
4D377B163021,2.416015625,2.439453125,2.923828125,2.88671875,2.77734375,2.560546875
FF197A6B15B2,2.580078125,2.640625,3.017578125,2.87109375,2.87890625,2.86328125
306796D0279E,2.548828125,2.439453125,2.638671875,2.458984375,2.388671875,2.587890625
48837626943D,2.71484375,2.66796875,2.93359375,2.806640625,3.0078125,2.81640625
287BE4F26530,2.47265625,2.35546875,2.71875,2.537109375,2.4375,2.515625
CDABA09822C7,2.609375,2.384765625,2.744140625,2.486328125,2.369140625,2.462890625
A2BA5F95C077,2.82421875,2.72265625,2.9765625,2.77734375,2.873046875,2.90625
DDD1A1F08FDF,2.537109375,2.705078125,2.986328125,2.9296875,2.90234375,2.482421875
8D160B0BC04B,2.92578125,3.08984375,3.396484375,3.30078125,3.35546875,3.23046875
4843C41AAF24,2.63671875,2.6484375,3.11328125,2.8125,2.923828125,2.92578125
46BB96D9BC9B,2.861328125,2.86328125,3.091796875,3.041015625,2.892578125,3.08984375
4E59508F6D0B,2.861328125,2.6953125,2.890625,2.818359375,2.703125,2.59765625
6013DA298542,2.525390625,2.537109375,2.837890625,2.66796875,2.736328125,2.7109375
82CCCAD3BA5B,2.5,2.447265625,2.76953125,2.669921875,2.55859375,2.359375
F86C79CE78F4,2.3046875,2.087890625,2.490234375,2.173828125,2.08203125,2.35546875
D6504339A690,2.74609375,2.857421875,2.927734375,3.015625,3.1953125,2.888671875
E897534557AF,2.978515625,3.02734375,3.2890625,3.046875,2.935546875,3.1875
FFD29828A873,2.76171875,2.673828125,2.98046875,2.8828125,2.908203125,2.39453125
E792CBEB06C5,2.869140625,2.966796875,3.15234375,3.072265625,3.19921875,3.224609375
2C0F002E8882,2.591796875,2.427734375,2.73828125,2.609375,2.58203125,2.66015625
C7A28C7A3786,2.0703125,2.0859375,2.373046875,2.23046875,2.29296875,2.169921875
56AC4BE71C2F,2.791015625,2.736328125,3.03125,2.859375,3.07421875,2.86328125
824896E8F91B,2.3671875,2.361328125,2.83203125,2.61328125,2.68359375,2.576171875
DA8E64EC1304,2.658203125,2.5859375,2.68359375,2.59375,2.6640625,2.341796875
D242BBCBEAFB,2.849609375,2.935546875,3.12109375,2.91796875,3.04296875,3.314453125
FE7BFE19D977,2.8515625,2.787109375,2.96484375,2.650390625,2.7265625,2.6796875
96F4AB949807,2.0625,1.8984375,2.32421875,2.208984375,2.181640625,1.6998809576034546
24615FD199BE,3.236328125,3.263671875,3.314453125,3.15234375,3.330078125,3.2109375
EF36F9497E96,3.001953125,3.025390625,3.111328125,2.9453125,2.779296875,3.275390625
10D2D1173D36,3.77595329284668,3.828848838806152,3.708207130432129,3.663067579269409,3.925823211669922,4.150503158569336
833489139971,3.298828125,3.2421875,3.251953125,3.263671875,3.171875,3.205078125
F7DD6134C693,2.669921875,2.513671875,2.736328125,2.55078125,2.333984375,2.482421875
5B0E80E62A8C,3.021484375,3.162109375,3.01953125,3.126953125,3.2890625,3.474609375
8E6F35BA3EE6,2.69140625,2.94140625,3.041015625,2.939453125,3.24609375,3.201171875
CF7AF5FA5DDC,3.902406692504883,3.939023971557617,4.084297180175781,4.071086883544922,4.136783599853516,4.152976989746094
60AEEA05E1A9,2.66015625,2.498046875,2.89453125,2.71875,2.5859375,2.71484375
7820048B53C8,3.087890625,3.068359375,3.275390625,3.181640625,3.23046875,3.1875
950729DE3582,2.765625,2.837890625,2.96484375,2.87109375,2.99609375,2.86328125
064423D845B1,2.771484375,2.677734375,2.8515625,2.697265625,2.63671875,2.8515625
C954A6D0B707,3.111328125,3.07421875,3.333984375,3.2734375,3.359375,3.06640625
48940AA0656E,3.05859375,2.90234375,3.01953125,2.853515625,2.859375,3.0703125
232A59426B1E,2.599609375,2.3671875,2.619140625,2.416015625,2.451171875,2.69921875
3E500A5390C1,2.1015625,2.02734375,2.40625,2.31640625,2.197265625,2.017578125
06737289651D,2.3203125,2.076171875,2.533203125,2.19140625,2.103515625,1.953125
10D60ACB3E5D,2.08984375,1.970703125,2.34375,2.01171875,1.9912109375,2.248046875
0E14B9D24898,2.640625,2.568359375,2.755859375,2.55859375,2.353515625,2.5625
F50C9936F416,3.34375,3.177734375,3.384765625,3.3359375,3.388671875,3.271484375
6B56C630FFC5,2.751953125,2.591796875,2.890625,2.677734375,2.66796875,2.998046875
C12DEB504856,2.8515625,2.62890625,2.708984375,2.599609375,2.47265625,2.67578125
0D8EC8868869,1.8263921737670896,1.7668049335479736,2.25,2.044921875,1.8443546295166016,1.7587299346923828
C8D7D7FA3008,2.5546875,2.41796875,2.70703125,2.591796875,2.517578125,2.55078125
CC11E4C2FE01,3.177734375,3.021484375,3.25390625,3.15625,3.306640625,3.400390625
00D281524375,2.97265625,2.896484375,3.009765625,3.076171875,3.04296875,2.73046875
709156BCF733,3.08984375,3.24609375,3.154296875,3.158203125,3.490234375,3.490234375
81FB30DE2618,3.05078125,3.16015625,3.361328125,3.240234375,3.302734375,3.4921875
B1D135A74E3D,2.72265625,2.4609375,2.875,2.720703125,2.62109375,2.814453125
D93EC6A7E859,1.75094473361969,1.6796083450317385,2.28125,2.130859375,1.959045648574829,1.575298309326172
CBF103FE58DD,2.591796875,2.404296875,2.791015625,2.42578125,2.322265625,2.611328125
A35F3D111E9A,2.25390625,2.294921875,2.48828125,2.37890625,2.3515625,2.109375
9C7E82646A0F,2.7109375,2.984375,3.037109375,3.15625,3.22265625,3.029296875
4228BAB7F096,2.05859375,2.216796875,2.466796875,2.138671875,2.05859375,2.45703125
E47A7E497F78,2.66015625,2.8984375,3.00390625,3.001953125,3.06640625,2.759765625
25248BD3EEC2,4.092625617980957,4.100194931030273,4.053378105163574,4.091165065765381,4.291207313537598,4.325662612915039
F1B1760AD63F,2.369140625,2.37109375,2.849609375,2.505859375,2.548828125,2.5390625
4AC16314867E,2.583984375,2.396484375,2.650390625,2.45703125,2.6015625,2.408203125
EF3A72193AAF,3.021484375,2.95703125,3.02734375,3.00390625,3.021484375,3.142578125
9EADCECA2FB8,2.5703125,2.689453125,2.998046875,2.869140625,2.9609375,2.826171875
869B37DA1D3E,3.126953125,2.892578125,2.91796875,2.90234375,2.982421875,2.87109375
C865637A034A,3.212890625,3.1953125,3.23828125,3.236328125,3.267578125,3.1640625
E7328989C861,2.283203125,2.251953125,2.603515625,2.494140625,2.55859375,2.11328125
FCAE7B948DCF,2.44140625,2.45703125,2.791015625,2.802734375,2.7265625,2.25
CB7F46E1BDF6,2.822265625,2.81640625,3.021484375,2.9375,2.830078125,2.837890625
B5AA232A7261,3.017578125,2.90234375,3.00390625,2.845703125,2.693359375,3.03515625
A9B3B0AEE38B,3.22265625,3.22265625,3.34765625,3.349609375,3.453125,3.375
B4B82E063D04,2.859375,2.755859375,3.115234375,3.115234375,3.08203125,2.69921875
053C05D2EE43,2.83203125,2.744140625,2.77734375,2.90234375,3.015625,2.494140625
B6EB1835EBE0,2.47265625,2.35546875,2.708984375,2.53515625,2.501953125,2.556640625
7A25BCF70487,2.724609375,2.74609375,2.810546875,2.693359375,2.8671875,2.79296875
84765FE3E472,2.619140625,2.564453125,2.81640625,2.693359375,2.677734375,2.568359375
F763D4DB9224,3.427734375,3.494140625,3.384765625,3.521484375,3.681640625,3.66796875
AE262E9DC747,2.919921875,2.9453125,3.07421875,3.0078125,2.943359375,2.7265625
279245CFCCF4,2.861328125,2.81640625,3.060546875,3.013671875,3.142578125,2.818359375
2D6FA4DEBFD6,3.107421875,2.93359375,3.033203125,3.041015625,3.06640625,2.853515625
AB7823891008,3.033203125,2.875,3.0,2.875,2.771484375,3.208984375
44DCCF637033,2.88671875,2.900390625,3.1796875,3.041015625,3.064453125,3.046875
3E750EB9F5C5,2.474609375,2.625,2.671875,2.65234375,2.77734375,2.763671875
1CC7C3E50765,2.736328125,2.498046875,2.8828125,2.646484375,2.447265625,2.501953125
907FC59841EC,2.787109375,2.75,2.818359375,2.818359375,2.849609375,2.958984375
4E0FDE02216A,2.78515625,2.880859375,3.162109375,3.140625,3.078125,2.908203125
9B4EEAAB752E,2.86328125,2.904296875,3.328125,3.3515625,3.173828125,2.853515625
9F7610DBE2DC,3.017578125,2.919921875,3.033203125,3.09375,3.14453125,3.00390625
9615F113FAA1,3.052734375,2.98828125,3.10546875,3.00390625,2.849609375,3.2109375
DB80C6963DB7,3.0703125,3.005859375,3.251953125,3.171875,3.173828125,3.05859375
24C654C85C1F,3.095703125,3.10546875,3.2890625,3.181640625,3.3125,3.240234375
767533E12569,1.3477704524993896,1.396294116973877,1.8973169326782229,1.6801691055297852,1.5849339962005615,1.5708656311035156
E69E62149A87,2.666015625,2.67578125,3.00390625,2.744140625,2.583984375,2.7890625
649C7912163C,4.066298961639404,3.8749499320983887,3.893245458602905,3.775620222091675,3.9696455001831055,4.110547065734863
D77456B25F73,3.05859375,3.1484375,3.38671875,3.310546875,3.099609375,3.13671875
6BEE2EEEDD39,2.5703125,2.63671875,2.810546875,2.646484375,2.771484375,2.642578125
AF71C89CD199,2.7890625,2.716796875,2.916015625,2.849609375,2.94921875,2.701171875
FAC3F8F91C6F,2.974609375,2.888671875,3.021484375,2.96484375,2.767578125,2.884765625
AF83C17B5451,2.98828125,3.021484375,3.224609375,3.20703125,3.37890625,3.154296875
DD10F696E570,2.013671875,1.8740234375,2.478515625,2.158203125,2.0625,2.162109375
