text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.8893163,2.876606,3.0780861,3.0226712,3.043038,2.8293824
0022683E9EA5,2.7486336,2.5985494,2.942787,2.7325692,2.5279982,2.688862
00299B378633,2.988734,3.0710661,3.0477476,3.018885,3.1135764,3.1327066
003885A45F42,3.662488,3.7095792,3.8041422,3.7197585,3.6160011,3.7585418
0049B1DF5CCC,2.4440262,2.2808783,2.8062205,2.5793471,2.618343,2.332591
004AC288D833,2.9522374,3.0272088,3.1237617,2.9431226,3.1971848,3.0503492
005661280443,3.2926667,3.2407358,3.418309,3.3195107,3.259088,3.58816
008DDDDD8E8D,2.8949504,2.6464443,2.850181,2.545012,2.3830788,2.3080113
009BCCC61C2A,3.0675511,2.8946586,3.2297163,3.0381951,2.8631604,2.6523287
009F4E9310CB,2.68286,2.5959053,2.9053183,2.6920218,2.5773613,2.5184245
00B21F9B726F,3.2999265,3.1386526,3.2195165,3.166716,3.2538958,3.1594517
00BCADB373EF,3.5930529,3.62932,3.9077117,3.7990618,3.443184,3.768674
00D281524375,2.9318695,2.8667989,3.0827456,2.9155102,3.082288,2.6223927
00ED2563D0B1,3.7429383,3.6761951,3.97243,3.9442477,3.7788343,3.7861807
011AAA636F11,3.629925,3.4632206,3.9016676,3.6681616,3.5314684,3.5725248
01350DF42AED,2.3829002,2.2300959,2.7004914,2.3986075,1.9778036,2.444794
01405C3C569D,2.915441,2.6485097,3.070437,2.8586614,2.613879,2.8812716
01501F95B8B2,3.6553516,3.6180062,3.8494155,3.7506819,3.7136695,3.5017796
017802562E71,3.066965,2.9659717,3.2623284,3.001789,2.9489465,2.969935
01794F5F1423,3.464511,3.3665,3.4298513,3.3280053,3.4270751,3.4640074
017D2125A1DE,2.3119326,2.1772072,2.6268177,2.2470262,2.1778686,2.2935083
01911AC9674D,3.1506743,3.1618462,3.2517166,3.1644964,3.0011752,3.3155863
019BDC9DF7CD,3.1554184,3.1704483,3.1101468,2.939159,3.1239219,3.3692772
