text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.8682811,2.9156196,3.1275012,3.0558026,3.0355551,2.8415859
0022683E9EA5,2.7844677,2.6309516,2.9141936,2.747396,2.5400724,2.588346
00299B378633,2.9684417,3.049418,3.168578,3.0300102,2.9850721,3.1922688
003885A45F42,3.639192,3.665223,3.7611835,3.730481,3.6561513,3.7798982
0049B1DF5CCC,2.4905784,2.4028833,2.8112488,2.710977,2.6883838,2.4126756
004AC288D833,3.006016,2.9211957,3.147112,3.052737,3.236342,3.0571856
005661280443,3.3492866,3.3437104,3.5130293,3.3618264,3.3717685,3.5335448
008DDDDD8E8D,2.8720527,2.6547387,2.8582036,2.6705518,2.4709628,2.3344903
009BCCC61C2A,3.0228684,2.8775196,3.2209334,3.1314728,2.9044435,2.7259269
009F4E9310CB,2.7051349,2.5571623,2.9558177,2.6036682,2.5055969,2.4996884
00B21F9B726F,3.3570151,3.1278105,3.2150688,3.2597654,3.2865732,3.0345068
00BCADB373EF,3.6460047,3.6824036,3.8300035,3.7504764,3.4483106,3.6530674
00D281524375,3.0493178,2.9010322,3.0316799,3.1045253,3.134911,2.5893579
00ED2563D0B1,3.7729144,3.7441914,4.114141,3.9806633,3.8683114,3.8052127
011AAA636F11,3.4431593,3.4804769,3.8571095,3.669329,3.5548267,3.55656
01350DF42AED,2.4128978,2.2463388,2.6698587,2.263613,2.0671313,2.3605878
01405C3C569D,2.922387,2.7182033,3.1504874,2.8637927,2.5885003,2.9140248
01501F95B8B2,3.5685225,3.5198479,3.768254,3.721135,3.5269675,3.5060751
017802562E71,3.0739214,2.8764508,3.2913353,3.1151242,2.9828331,3.0665748
01794F5F1423,3.4086583,3.272588,3.3841102,3.2792463,3.298627,3.3192809
017D2125A1DE,2.3502476,2.17303,2.5628858,2.2840502,2.114746,2.2567081
01911AC9674D,3.051387,3.1467934,3.2004344,3.1678882,3.0238507,3.208777
019BDC9DF7CD,2.9127579,2.9902492,2.9819,2.9558387,2.9574475,3.4141355
01A65BA4080E,3.8593671,3.8830228,3.8988762,3.8649096,4.0051193,3.846808
01B3FDB3FD57,4.1008954,4.1064305,4.2169065,4.0507517,4.190267,4.213222
01C53183305A,2.4598224,2.351021,2.554332,2.2757902,2.3586109,2.1536012
0230A077F5B6,2.691863,2.527786,2.830881,2.6430304,2.3849664,2.2462595
025722D0AFB7,3.8918233,3.753423,3.8839993,3.8599277,3.7503893,3.627391
027CB6393714,3.2202246,3.1690736,3.3106356,3.3150554,3.41674,3.1683362
02B07248077F,2.0481713,1.9442381,2.3512483,2.1009557,1.9141138,1.77412
02B36EBD5C66,3.5395749,3.3426273,3.4892924,3.361563,3.0911415,3.575419
0316F6288791,3.0337079,2.736998,3.1119668,2.808801,2.5915635,2.8711712
032EA4B76BF5,3.2448463,3.0711453,3.1563382,3.1958904,3.1542022,3.1790617
036042533396,3.3863487,3.285595,3.6069481,3.5327656,3.3449502,3.268753
0369AD4B5726,3.4719386,3.5169423,3.8153543,3.7664926,3.6809945,3.7077339
037C88B5B111,3.4204376,3.2104921,3.5425012,3.1970975,2.8610215,3.4886844
037ED3EA2982,3.204692,3.2669885,3.4653788,3.4775093,3.4058874,3.2381477
0381BBE47393,3.3462818,3.258592,3.3607538,3.3444161,3.22981,3.3368928
0383E4A36E46,3.5316129,3.480867,3.7002904,3.6098518,3.6603038,3.4329164
03844422EA75,1.7728837,1.7530684,1.910654,1.9897138,1.9355578,1.1461457
038480498E5A,3.488917,3.5174558,3.5343583,3.570042,3.6573844,3.7721562
