text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.7583468,3.001088,3.1188545,3.088567,3.1439219,2.9339528
0022683E9EA5,2.8028302,2.6884613,2.8959868,2.806931,2.5919344,2.6341856
00299B378633,2.9256263,2.9819236,3.0619156,2.9264657,3.0386221,3.2070112
003885A45F42,3.5556455,3.539304,3.6753876,3.609111,3.5692654,3.7313733
0049B1DF5CCC,2.5139592,2.3843942,2.8205032,2.6426637,2.5771775,2.379987
004AC288D833,2.9625232,3.0043724,3.1863987,3.0016098,3.301894,3.1080008
005661280443,3.294965,3.4254205,3.3918312,3.3330457,3.393483,3.5381737
008DDDDD8E8D,2.870274,2.7438118,2.9138691,2.6650558,2.500899,2.3697639
009BCCC61C2A,2.9516778,2.9348602,3.2357755,3.0924284,3.00395,2.7365131
009F4E9310CB,2.6466355,2.5862653,2.9222124,2.6118598,2.4526184,2.5517898
00B21F9B726F,3.271523,3.1443794,3.2098396,3.226033,3.294904,3.0253224
00BCADB373EF,3.680606,3.6589427,3.732481,3.691518,3.4950635,3.6544733
00D281524375,3.040083,2.9150002,3.0535233,3.1988497,3.1363847,2.6970932
00ED2563D0B1,3.7720485,3.8223572,4.0371656,4.000293,3.9202416,3.7820952
011AAA636F11,3.4688008,3.5135431,3.809718,3.6011539,3.6110044,3.5805204
01350DF42AED,2.4239554,2.1848142,2.6430912,2.3045392,2.055778,2.3900273
01405C3C569D,2.886014,2.745411,3.1408923,2.8018634,2.5739086,2.9112334
01501F95B8B2,3.6045015,3.6151192,3.783912,3.7751648,3.7054806,3.5076659
017802562E71,3.027374,2.9706054,3.2010686,3.0257905,2.9642181,3.0486865
01794F5F1423,3.362859,3.2866921,3.345859,3.30593,3.4847324,3.429092
017D2125A1DE,2.3063521,2.208403,2.5411596,2.2027152,2.1201544,2.2683718
01911AC9674D,3.1192303,3.1353195,3.2227833,3.1744971,3.0205128,3.1963031
019BDC9DF7CD,3.024098,2.9915736,2.9830983,2.742769,2.923789,3.2774513
01A65BA4080E,3.85644,3.770996,3.8325956,3.9391594,4.021755,3.8382833
01B3FDB3FD57,4.0860224,4.097025,4.244812,4.0717764,4.2883215,4.2400727
01C53183305A,2.504418,2.3618126,2.5400581,2.403471,2.3259408,2.0625741
0230A077F5B6,2.6604173,2.523422,2.838946,2.5672584,2.4435658,2.238812
