text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.9351575,2.9545221,3.2457607,3.2566395,3.2358832,2.8977818
0022683E9EA5,2.7412224,2.6350868,2.8517997,2.7355099,2.5121586,2.6427634
00299B378633,2.9608302,2.9076014,3.0828009,2.9613466,2.883079,3.0488226
003885A45F42,3.670152,3.660976,3.7736888,3.7377355,3.695196,3.7893202
0049B1DF5CCC,2.4826078,2.4341328,2.812677,2.6969287,2.636503,2.4179885
004AC288D833,3.071664,2.9957721,3.1667063,3.1147273,3.2019973,3.1741555
005661280443,3.2046013,3.2649496,3.4257138,3.337435,3.2408018,3.4565742
008DDDDD8E8D,2.9464784,2.7053766,2.8830287,2.6233754,2.4141438,2.323584
009BCCC61C2A,2.9841673,2.957774,3.2626753,3.1046047,2.9034054,2.792722
009F4E9310CB,2.6531608,2.5530457,2.8823452,2.5696096,2.4625626,2.541299
00B21F9B726F,3.3168604,3.1919804,3.281901,3.298314,3.3362706,3.136821
00BCADB373EF,3.5556214,3.566829,3.778872,3.7718751,3.4988563,3.6724288
00D281524375,3.0272872,3.0128343,3.0245998,3.0900645,3.1655154,2.642008
00ED2563D0B1,3.7781458,3.7651691,4.099502,4.0236654,3.9614954,3.8029187
011AAA636F11,3.5238256,3.396704,3.7026265,3.5960686,3.6161873,3.530645
01350DF42AED,2.4475636,2.1958761,2.5728045,2.267703,2.0812368,2.4170609
01405C3C569D,2.8906426,2.7151115,3.0728023,2.8217907,2.4949067,2.8899355
01501F95B8B2,3.5194168,3.5455678,3.7446756,3.799701,3.6984246,3.3217194
017802562E71,3.0714977,2.9165897,3.2557874,3.0339413,2.9493463,3.067597
01794F5F1423,3.372516,3.3163521,3.33762,3.364966,3.4499753,3.4745
017D2125A1DE,2.3926377,2.2371438,2.601496,2.3102913,2.1102204,2.2177572
01911AC9674D,3.1196334,3.063002,3.1986096,3.0931032,2.9724638,3.0469508
019BDC9DF7CD,3.1303902,3.0792277,3.109475,2.919152,2.870844,3.291139
01A65BA4080E,3.7430751,3.817745,3.869453,3.910005,4.019259,3.7371254
01B3FDB3FD57,4.1019783,4.0548816,4.208082,4.0812488,4.1839786,4.251784
01C53183305A,2.571572,2.3999503,2.5022204,2.317343,2.3102095,2.0392427
0230A077F5B6,2.7544563,2.4896924,2.7805684,2.5386467,2.37023,2.2327104
025722D0AFB7,3.7209969,3.6002953,3.8323057,3.9201488,3.6452794,3.4168417
027CB6393714,3.4009817,3.2274446,3.356937,3.4272811,3.551786,3.2236207
02B07248077F,2.2524405,2.1063013,2.3782296,2.2063813,2.1036658,1.8734179
02B36EBD5C66,3.5566964,3.403232,3.5665991,3.3970678,3.1799786,3.551711
0316F6288791,3.0167055,2.753642,3.0616975,2.8466117,2.6183298,2.9104788
032EA4B76BF5,3.17948,3.0986001,3.2755756,3.2730093,3.3511384,3.1283355
036042533396,3.363132,3.315191,3.5131767,3.479426,3.2428544,3.3143573
0369AD4B5726,3.5371227,3.6180444,3.849446,3.8006833,3.79112,3.8114653
037C88B5B111,3.4177833,3.1665337,3.4736667,3.2252395,2.8818727,3.4060235
037ED3EA2982,3.273102,3.1905313,3.459089,3.383112,3.1931787,3.293319
0381BBE47393,3.383504,3.1681964,3.2787285,3.2770104,3.1089969,3.1992152
0383E4A36E46,3.4919531,3.4468706,3.5950506,3.5733957,3.5382445,3.4904785
03844422EA75,1.9049652,1.8212657,2.0594933,1.814735,1.9619007,1.2189783
038480498E5A,3.6691618,3.5599885,3.6638765,3.675075,3.77492,3.867704
03A3B40D651B,2.8988876,2.9166195,3.1843581,3.0404735,3.15713,3.235806
03C9E7A15C42,2.541568,2.4464843,2.7999406,2.6675675,2.585647,2.232287
03CB73341E0E,3.7079103,3.658067,3.7857015,3.8371212,3.7697835,3.4808986
03CC97D3747E,3.7700605,3.71099,3.8522813,3.8465188,3.9000568,3.7738855
03D00899C901,2.8593972,2.719427,3.0990875,3.0068412,2.8016744,2.7519422
03F7CF142B70,3.0627334,3.06234,3.2395968,3.1410594,3.2609627,2.9124362
0420DDE0BABD,2.2936583,2.355191,2.5706253,2.4674723,2.329711,2.2961426
0435196871A1,3.007796,2.7717383,3.1129682,2.8400426,2.5457385,2.8525674
043B9F48FDC2,2.8568048,2.784724,3.0920608,2.9241908,2.7198765,2.708404
04491B61A791,2.826203,2.7073889,3.0482006,2.8060012,2.5105278,2.962911
0465517EB6B7,2.4375856,2.522004,2.949415,2.7686653,2.7029715,2.8128068
04659704890C,3.3137355,3.312547,3.3749306,3.5445611,3.5361156,3.1564498
046C6FB91CBA,3.3663747,3.276576,3.4789047,3.3930807,3.3211656,3.3570995
046ECC91332C,3.6630454,3.5972526,3.727846,3.6244814,3.4127471,3.7218137
04788D56AC58,3.0570638,2.9770463,3.2112973,3.1864712,3.3828635,3.0273607
047BD3CB80B4,3.4900427,3.34255,3.5864074,3.5174105,3.3857481,3.4352126
0484BCFC725D,2.7378812,2.595089,2.7742138,2.5246468,2.3710644,2.731168
04ACA7EB3994,3.1825113,3.1151621,3.1913793,3.1096268,3.046202,3.1520944
04B3A4DD9460,2.623351,2.5333426,2.8531864,2.6750093,2.6717708,2.2342482
04B6FD84A066,3.6499527,3.6213288,3.8082893,3.7508805,3.7143433,3.7886553
04C2DA8069E7,2.428269,2.2735982,2.482801,2.2982054,2.1071959,2.185923
04E1A9EE5BE1,1.781615,1.7551876,2.1239436,1.8830154,1.7318547,1.8063477
04FA62C5F269,3.0160432,2.8362012,3.065885,2.8137922,2.5400174,2.7644544
05021F4CA528,2.593041,2.464033,2.747008,2.6185222,2.4193008,2.247338
