text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.9323575,2.9361877,3.2557647,3.1972222,3.1840732,2.9088087
0022683E9EA5,2.7240977,2.6018531,2.8647616,2.760252,2.539954,2.635755
00299B378633,3.0307858,2.9569328,3.081494,3.0102139,3.0253212,3.0789974
003885A45F42,3.6999462,3.6141195,3.8181345,3.7217362,3.7226145,3.7724319
0049B1DF5CCC,2.4918058,2.3687274,2.8094966,2.6241553,2.5992093,2.327586
004AC288D833,3.0588644,3.0846927,3.2068892,3.119229,3.295296,3.2337182
005661280443,3.335258,3.3737729,3.5287569,3.3737698,3.363769,3.5595663
008DDDDD8E8D,2.9622872,2.6727448,2.860329,2.6501036,2.4688861,2.3717237
009BCCC61C2A,2.9886503,2.87464,3.2445338,3.1179214,2.9543514,2.7338161
009F4E9310CB,2.6589115,2.485334,2.9138672,2.6096892,2.4262624,2.5512342
00B21F9B726F,3.2332532,3.0612288,3.1807685,3.167727,3.301821,3.0651019
00BCADB373EF,3.5673034,3.5346904,3.7153227,3.7117453,3.3773773,3.6294563
00D281524375,3.0494032,2.9557333,3.078388,3.1015146,3.1606543,2.6296048
00ED2563D0B1,3.9199262,3.8367746,4.131196,4.0525594,3.982695,3.8852816
011AAA636F11,3.4624581,3.4439769,3.7516325,3.6125524,3.5779326,3.6064692
01350DF42AED,2.3567314,2.1846912,2.6198468,2.2476077,2.105878,2.3308933
01405C3C569D,2.9420757,2.6158957,3.1074667,2.8878121,2.5077145,2.8483531
01501F95B8B2,3.6880546,3.6295736,3.8273492,3.7825663,3.6167452,3.4942918
017802562E71,3.0779343,2.9369326,3.1966486,3.0495074,2.9543908,3.0587595
01794F5F1423,3.3538704,3.371661,3.4271662,3.4675865,3.5968883,3.5090482
017D2125A1DE,2.334837,2.2310116,2.5711617,2.224635,2.0867002,2.260046
01911AC9674D,3.0143578,3.0535388,3.179662,3.138582,3.0178244,3.0909865
019BDC9DF7CD,2.9469256,3.0169544,3.0650268,2.9288323,2.943109,3.3528333
01A65BA4080E,3.8544014,3.8139799,3.8965664,4.019678,4.1191983,3.8275466
01B3FDB3FD57,4.21543,4.0944014,4.333032,4.151908,4.267161,4.3227453
01C53183305A,2.5059388,2.3741748,2.566751,2.2733014,2.2939644,2.126451
0230A077F5B6,2.7284594,2.4929695,2.7852907,2.570311,2.3447487,2.214513
025722D0AFB7,3.859814,3.7839675,3.9365048,3.9251013,3.7989197,3.4702647
027CB6393714,3.3773694,3.195487,3.3679883,3.4489012,3.4748924,3.1988049
