text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.951795,2.9702704,3.1534352,3.198321,3.2186332,2.8703146
0022683E9EA5,2.8351734,2.63957,2.934394,2.731112,2.5158732,2.7273865
00299B378633,2.9495566,2.8925405,3.0941014,2.9384694,2.9088755,3.0690382
003885A45F42,3.7113173,3.6538568,3.7392943,3.6806908,3.6944346,3.7349365
0049B1DF5CCC,2.4448361,2.3622768,2.6854167,2.4991593,2.4423563,2.3610146
004AC288D833,3.1163378,3.0275123,3.24369,3.097649,3.1507468,3.124443
005661280443,3.370113,3.471283,3.5217886,3.5161662,3.4759693,3.5592282
008DDDDD8E8D,2.9289122,2.7163682,2.8311388,2.651131,2.461907,2.4123712
009BCCC61C2A,3.1507604,3.080609,3.309114,3.2248487,3.1184042,2.890082
009F4E9310CB,2.8051114,2.64048,2.9760036,2.7576365,2.6331992,2.618351
00B21F9B726F,3.302565,3.1914124,3.2302914,3.3469157,3.4316225,3.097787
00BCADB373EF,3.5177107,3.4822006,3.6546044,3.6887972,3.3125043,3.5663407
00D281524375,3.0293427,2.8866315,2.9622328,3.054077,3.0691254,2.584644
00ED2563D0B1,3.764559,3.7817175,4.0888643,4.0180454,3.9110725,3.8155403
011AAA636F11,3.4793904,3.5053642,3.8081374,3.6517773,3.6076467,3.5851946
01350DF42AED,2.4637997,2.3117504,2.6380906,2.3424194,2.2236295,2.4613771
01405C3C569D,2.9363363,2.7394547,3.0409594,2.849588,2.5193665,2.9494638
01501F95B8B2,3.5210907,3.4976242,3.6664796,3.6356027,3.5614567,3.3276813
017802562E71,3.0628166,2.8331373,3.198305,3.0755556,2.8721926,2.9982786
01794F5F1423,3.3072958,3.2942028,3.3219013,3.3698974,3.4421256,3.3014174
017D2125A1DE,2.350691,2.2838283,2.641493,2.3683393,2.1686602,2.318687
01911AC9674D,3.094624,3.113289,3.186841,3.1956563,3.0231354,3.0825233
019BDC9DF7CD,3.2283773,3.1948326,3.288938,3.1117663,3.23624,3.5079126
01A65BA4080E,3.8558712,3.7962763,3.9064145,4.0487485,3.9729173,3.8085804
01B3FDB3FD57,4.078547,4.1179395,4.1606708,3.967956,4.1199775,4.160504
01C53183305A,2.6457605,2.4800878,2.679534,2.4371035,2.3966818,2.2571352
0230A077F5B6,2.8532705,2.566897,2.8238494,2.6527827,2.399255,2.2117062
025722D0AFB7,3.745693,3.7289848,3.8562508,3.8447633,3.7160048,3.4977562
027CB6393714,3.2222955,3.1551478,3.2634463,3.3111606,3.357524,3.0785112
02B07248077F,2.1877515,1.9870074,2.3524609,2.180654,2.0233064,1.9753447
02B36EBD5C66,3.5328784,3.3557522,3.5785224,3.3646548,3.1376688,3.5798094
0316F6288791,3.2068655,2.932128,3.182593,3.015379,2.746063,3.0469184
032EA4B76BF5,3.1489446,3.016049,3.2102969,3.220665,3.3740528,3.2435365
036042533396,3.1473765,3.1594553,3.3816223,3.322399,3.08946,3.0967932
0369AD4B5726,3.3243306,3.583442,3.710463,3.7506957,3.6975403,3.8248744
037C88B5B111,3.4102044,3.2150578,3.4644892,3.173297,2.8409133,3.4317858
037ED3EA2982,3.2859075,3.3040788,3.44458,3.4462316,3.2896378,3.2387378
0381BBE47393,3.47234,3.2523572,3.36075,3.4117312,3.2125747,3.3460011
0383E4A36E46,3.4439456,3.332389,3.5302086,3.4676979,3.4071028,3.1979604
03844422EA75,1.7079862,1.6845018,1.9855871,1.8023281,1.846909,1.2150428
038480498E5A,3.4717977,3.4281929,3.556363,3.4705997,3.5946038,3.6447728
03A3B40D651B,2.829897,2.9057572,3.1192791,2.9992435,2.9914582,3.0606747
03C9E7A15C42,2.5835896,2.5236268,2.8702457,2.7955096,2.6142523,2.254425
03CB73341E0E,3.576145,3.5148883,3.611521,3.6918852,3.5983694,3.2941685
03CC97D3747E,3.7674105,3.720185,3.8743646,3.8374348,3.7581482,3.6716518
03D00899C901,2.8390124,2.810789,3.0929518,3.0140073,2.8962355,2.8204985
03F7CF142B70,3.1454494,3.1435099,3.035039,3.0168254,3.2186692,2.8720617
0420DDE0BABD,2.3861012,2.3718743,2.6345117,2.5180705,2.5022185,2.4129062
0435196871A1,3.0795531,2.9009495,3.195243,2.9409916,2.6666396,2.8948166
043B9F48FDC2,2.8718941,2.7686193,3.0283315,2.8620236,2.6852422,2.703731
04491B61A791,2.814366,2.6295388,2.9343078,2.6495929,2.3609953,2.8479514
0465517EB6B7,2.6117141,2.5806584,2.9073246,2.85771,2.7244053,2.7270312
04659704890C,3.3297212,3.3246782,3.4377656,3.520779,3.3924527,3.223423
046C6FB91CBA,3.5291412,3.454265,3.588841,3.5810575,3.4640265,3.5999517
046ECC91332C,3.4488242,3.464589,3.6127782,3.440375,3.2737522,3.5408213
04788D56AC58,3.0859272,3.0415316,3.2363696,3.1899142,3.3297591,2.8836808
047BD3CB80B4,3.587923,3.4814646,3.65678,3.5733378,3.2784195,3.5664961
0484BCFC725D,2.8119717,2.6114252,2.7400525,2.5876243,2.5133955,2.811535
04ACA7EB3994,3.2922688,3.2053745,3.2871742,3.2642217,3.192039,3.154499
04B3A4DD9460,2.5921137,2.5192406,2.862525,2.711172,2.6431284,2.2220707
04B6FD84A066,3.57578,3.60412,3.7508404,3.7040274,3.6635468,3.6365097
04C2DA8069E7,2.3315432,2.2434225,2.5455954,2.3170242,2.1195316,2.2361681
04E1A9EE5BE1,1.7980355,1.8274586,2.1864038,1.8495067,1.7255788,1.7952821
04FA62C5F269,3.048519,2.8087564,3.063592,2.785942,2.415741,2.851297
05021F4CA528,2.5518227,2.4686468,2.79246,2.580633,2.41303,2.181235
0506BAC596A7,2.6671813,2.600977,2.7822592,2.5804894,2.6226137,2.6324382
050BFA60C6AF,2.8517685,2.8267393,3.0214243,2.9305325,2.9163058,2.9661157
0514D25768A0,3.6811388,3.368129,3.5580242,3.348907,3.1133087,3.458281
051C3A22AEE0,2.5238247,2.4053454,2.652181,2.4197233,2.2675707,2.3552902
053ACB9DFE74,2.5938783,2.6086936,2.6767704,2.6504495,2.7987568,2.0953584
053C05D2EE43,2.8750815,2.8438225,2.9172513,2.9848795,3.0634637,2.551929
0546517E6BAA,3.1597571,2.8898988,3.0901816,2.8517625,2.5497603,2.862747
0563F089C239,3.3358788,3.2740538,3.4317656,3.1808782,3.005368,3.450166
057E81E19740,2.65772,2.4693544,2.7717507,2.5680702,2.3823042,2.5486543
057EE790CCEA,2.7536852,2.5446644,2.890314,2.6416688,2.3893335,2.4531136
05903AA4540F,2.9809978,2.875296,3.0193257,2.8372278,2.7842512,3.216939
05ACEDBB9CB4,3.3489633,3.088166,3.2927759,3.1148026,3.0226626,3.4331326
05CE0C0C5102,3.3250394,3.2253985,3.2708325,3.2110384,3.0418615,3.2794201
05E5653B781C,2.7695243,2.8490262,3.0000544,2.9181688,2.8647127,2.6540947
05EC08C05019,3.4858499,3.2764697,3.5682158,3.4091222,3.1462817,3.3888783
05F30981F3EB,3.7107878,3.5788229,3.636782,3.595365,3.3823109,3.2816997
05F54CEC774B,3.1066144,3.0712564,3.2584755,3.027392,2.8760056,3.261976
0607B495212F,2.6017096,2.5506048,2.832443,2.7203813,2.6161435,2.5444067
061AF57CB05C,3.2158637,3.3371825,3.4929307,3.4739616,3.5088236,3.5563014
061D2BBACB45,3.529695,3.3206131,3.436476,3.267532,3.0940628,3.5308774
0623DD5A8E8F,2.6577814,2.4944997,2.9408245,2.7337103,2.6794212,2.7254937
062AE7A344D3,2.7058702,2.6285481,2.9276793,2.711786,2.5819654,2.4573503
063F809DE304,3.2560456,3.2096841,3.4312623,3.387888,3.2334356,3.1500807
064423D845B1,2.8919883,2.796805,2.994791,2.8996685,2.8353498,2.9010136
06737289651D,2.1297138,2.021488,2.4021597,2.101038,2.082907,2.0694945
06C9FC1267BB,3.339684,3.1372204,3.433202,3.3464682,3.0513606,3.3056204
06E81109FE92,2.4897826,2.4044733,2.6631544,2.4405212,2.4003596,2.4743202
06F368177993,2.172249,2.0178204,2.470406,2.2156475,1.9881923,1.9035146
06F5F6A09DC6,3.452518,3.4775913,3.598909,3.6044216,3.5226524,3.5251982
06FA8EF28227,2.904016,2.7067783,3.0857248,2.865235,2.6711893,2.723118
070D792C65B7,3.4001257,3.265849,3.446491,3.4370947,3.3732636,3.335733
074FA0221628,3.0830405,3.0274458,3.0782037,3.0380726,2.959736,2.9162326
0756FC69B810,3.0178757,2.8239927,3.0712628,2.850881,2.6645193,2.8823125
076262AA0CD5,4.0233035,3.9165325,4.089494,3.9071856,3.8365571,3.8421872
0781753B768E,2.9670198,3.0357306,3.2910123,3.296956,3.1775286,3.054859
078201045481,2.8343027,2.6497467,3.0855613,2.7523196,2.493432,2.7868733
079FDB42E429,3.4892406,3.467171,3.5773728,3.6256785,3.5809789,3.552375
07A4DAFDE5B7,2.9810312,2.8432276,3.0872495,2.9571507,2.748618,2.6727364
07C6BB6ADA38,3.5039985,3.2318747,3.3228762,3.076704,2.7752328,3.3873525
07CE77EA56C5,4.26287,4.1339526,4.462605,4.2145514,4.234893,4.1067133
07D5647B11AE,2.7805562,2.5623686,2.8261352,2.5729222,2.471899,2.377917
07DFD9A0986B,2.9330475,2.7833855,3.0313034,2.9817839,2.8828912,2.5190017
07E1633CC87A,3.2743948,3.1161804,3.2686412,3.1733637,3.1252677,3.39387
07F3241EB3C6,3.8897853,3.8617964,4.0453053,3.8640141,3.777823,3.8685122
0803CE11A14A,3.1482701,3.1837099,3.3180811,3.2572317,3.267479,3.2081065
083E12F6B1D0,2.890158,2.8178673,3.1772134,2.9658525,2.8228292,2.3491848
084763DC1C8C,3.692061,3.5007138,3.4406197,3.4885416,3.493982,3.58282
085C8B43ADD6,3.2166133,3.0126011,3.3870153,3.2418652,2.9442782,3.116214
08683001D359,2.5853705,2.5134175,2.7513156,2.5436854,2.459851,2.2934456
0877E6A813FE,2.9787195,2.7866845,3.1653676,2.9239683,2.6482372,2.9211283
08B25090A80C,3.6802874,3.4609017,3.6658335,3.5268316,3.2180183,3.4630282
08B72DCFD859,3.115149,2.9502409,3.1662016,3.1453943,3.0113792,2.7345016
08D8232F2D78,2.9232233,2.8318357,3.028581,2.7309444,2.6434515,2.9811144
08FAE6E0BDCC,2.8340223,2.8250613,2.9596117,2.9313354,2.9578629,2.9021823
08FC0154E0EF,2.5593262,2.3763027,2.63045,2.389984,2.2896986,2.1792378
08FC47A564AE,3.260943,3.3234034,3.389484,3.4611685,3.5491283,3.5259125
092BBD374359,3.166263,3.0661433,3.237762,3.0282888,2.9107573,3.0961697
0943E322C195,3.0717697,2.9928417,3.157887,3.1466553,3.095916,2.7600937
094684D6DD30,2.6560302,2.5613747,2.7396917,2.5673356,2.517235,2.5636203
095E153640F7,3.280066,3.1508524,3.4359672,3.3093407,3.0599928,3.1519504
0985602832CD,2.530476,2.6336439,2.9481752,2.799889,3.1070185,2.8488615
09A801B564F5,3.064093,3.0032203,3.1011236,3.0764182,3.258276,3.0760446
09ADB0629CD0,3.7403693,3.745624,3.7836125,3.7566185,3.6688492,3.9259953
09EC2F6B0D24,2.843779,2.7476475,3.0139358,2.8726196,2.8404078,2.829918
0A082DA0A890,3.005723,2.8755984,2.97516,2.839571,2.7106376,2.7658544
0A1482CD6163,3.6467412,3.5589266,3.613637,3.594761,3.6448264,3.635118
0A324290AFE7,3.3022687,3.1697962,3.3312297,3.2873533,3.203284,3.295575
0A3964629F69,2.8051546,2.586525,2.857852,2.6219437,2.4340172,2.4022388
0A4CDC286F8C,2.9774315,2.9611652,3.054338,2.9796762,3.0070364,2.6984262
0A8B8F282E45,3.2197914,2.9739392,3.2270327,2.9482572,2.768752,3.2538638
0AAD73A0AA91,3.1312976,2.9850585,3.2380953,3.1088367,2.9491365,3.091266
0AB62AE1C13F,3.1801927,3.0938265,3.0942516,3.1663866,3.2605462,3.2482295
0ABD502C5BF9,3.1339111,2.9278545,3.3007853,2.95957,2.779,3.1563725
0AC3C87DC51A,2.5110192,2.421141,2.682765,2.530354,2.4673657,1.9339557
0ACB3F8B9DF8,2.7102735,2.8361201,3.147556,3.1220138,3.1651301,2.8631454
0AD69388300B,3.8275473,3.720002,3.6661458,3.7338517,3.7787907,3.7858706
0AF4F757FBEA,2.787593,2.5638747,2.8891778,2.524649,2.3426404,2.8481207
0AFAD06336F3,3.3888497,3.2714293,3.3784645,3.3626661,3.079855,3.038986
0AFC8CE27321,3.6441379,3.6113164,3.7324216,3.794839,3.8845916,3.7262807
0AFEC3CC53B5,2.5383646,2.3743691,2.6808069,2.4701753,2.321047,2.4267278
0B00BC4CBABC,3.4344983,3.3296933,3.4841974,3.3344836,3.0818653,3.406294
0B1599B11FCF,2.7247715,2.5626328,2.6822493,2.4961221,2.4551668,2.4530337
0B3118834B72,3.6147654,3.443064,3.4691148,3.451319,3.5321975,3.6425316
0B478E81218B,3.210134,3.2199442,3.476192,3.38804,3.1481044,3.3702936
0B6316123881,3.038431,3.0649705,3.2135272,3.1532633,3.1256235,3.197836
0B720B5EA0E9,3.3940597,3.2905872,3.3682075,3.4339423,3.3106966,3.23723
0B72A4344B3E,3.0976884,2.9140308,3.17468,2.9279835,2.589805,2.9970717
0B84A2B37B65,2.4124248,2.3174055,2.66016,2.4381247,2.4181843,2.4781468
0B953049AE1E,3.5794256,3.549745,3.633572,3.6334457,3.6672366,3.5413136
0BB7AF7A448C,3.3950872,3.0686069,3.2743917,3.0569327,2.8131351,3.090132
0BB9FAE6E27B,3.583859,3.5555286,3.8434443,3.6026034,3.4649062,3.5819967
0BDADA3AFF77,2.9315088,2.9706225,3.1065266,3.0989895,3.1746256,2.9144132
0BEB8F7F5A64,3.7573965,3.7723935,3.683928,3.8615696,3.7992,3.7020247
0BF56A2681D3,3.1476603,3.228652,3.268744,3.2750552,3.493264,3.402448
0C1EDBE2EEC3,3.4393203,3.4500422,3.557952,3.6129656,3.4409986,3.3114092
0C28481DFBB8,3.004453,2.7550151,2.9668982,2.7280557,2.492969,2.9257824
0C30A2A5D998,3.0001984,2.8003461,2.9742928,2.7423909,2.5300758,2.8453634
0C699C871AA5,3.484452,3.515724,3.5213423,3.5003293,3.496,3.636598
0C7D385D812A,3.1155603,3.0285835,3.2778516,3.2396102,3.1430025,2.9667032
0C88A0C1602B,3.3205993,3.2518158,3.4031897,3.382667,3.3428683,3.330285
0C88E7BE611B,3.036192,3.0161679,3.212819,3.2232072,3.2006197,3.0363472
0C8D699DEE90,1.9473495,1.8395838,2.1847718,1.8866911,1.8473753,1.9748781
0C91926E2BC6,2.8467658,2.7607481,3.1129918,2.909827,2.820162,2.9153543
0CB1237268E3,3.244175,3.317127,3.558026,3.4809077,3.1924298,3.3012908
0CCB18D0CAB7,2.6416304,2.494501,2.7417898,2.4827952,2.3558884,2.4807212
