text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.9533257,2.9140024,3.098418,3.1926305,3.1832044,2.8638725
0022683E9EA5,2.8006945,2.6000214,2.9025996,2.6359365,2.4961662,2.6651711
00299B378633,2.8968875,2.8944204,3.0512764,2.885448,2.8970063,3.0853517
003885A45F42,3.7162669,3.6483257,3.7119396,3.6993027,3.6562173,3.7657912
0049B1DF5CCC,2.461034,2.395499,2.790694,2.5902224,2.598437,2.3408177
004AC288D833,3.0599236,2.984853,3.2210279,3.054737,3.1974308,3.1536953
005661280443,3.401066,3.4198303,3.5155096,3.5163658,3.4676943,3.5160685
008DDDDD8E8D,2.92876,2.6885457,2.8622577,2.6471875,2.4183447,2.4153266
009BCCC61C2A,3.1544542,2.9777305,3.344544,3.2442224,3.0577698,2.8918693
009F4E9310CB,2.9045496,2.6877406,3.0008466,2.824943,2.6061804,2.6533737
00B21F9B726F,3.3838472,3.2005591,3.335696,3.3541312,3.4570165,3.0110629
00BCADB373EF,3.5920832,3.5262744,3.7147052,3.7270267,3.4607055,3.6935687
00D281524375,2.9698982,2.8349059,3.0357385,3.0682783,3.0919054,2.653429
00ED2563D0B1,3.759834,3.831696,4.1135106,3.973751,3.9045434,3.7581956
011AAA636F11,3.4539862,3.4984274,3.77228,3.7284312,3.68132,3.463284
01350DF42AED,2.4421713,2.32465,2.6410587,2.3334115,2.1789553,2.4135344
01405C3C569D,2.85394,2.6517022,3.0577126,2.8160949,2.5390828,2.942084
01501F95B8B2,3.6694465,3.5939565,3.7900689,3.919218,3.7541935,3.495802
017802562E71,3.034168,2.9376874,3.27903,3.1007664,2.9565842,3.09996
01794F5F1423,3.249605,3.2899408,3.3262455,3.3325942,3.4878924,3.3656719
017D2125A1DE,2.381039,2.2600474,2.689197,2.3630266,2.223072,2.4193685
01911AC9674D,3.0646334,3.115202,3.2488735,3.2224617,3.0396836,3.1009045
019BDC9DF7CD,3.2282643,3.1009066,3.15048,3.169697,3.2169678,3.5736837
01A65BA4080E,3.8543015,3.8757546,4.058362,4.093009,3.9823358,3.8556185
01B3FDB3FD57,4.0956473,4.094412,4.301895,3.9758165,4.2279034,4.2848206
