text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.9762475,3.0491185,3.1393232,3.2109942,3.1556177,2.9623551
0022683E9EA5,2.8626766,2.6681914,2.8887825,2.6854477,2.4615438,2.5764074
00299B378633,2.929291,2.929414,3.062335,2.9106035,2.9035504,3.050813
003885A45F42,3.7939727,3.8006113,3.861627,3.8569815,3.8469863,3.866329
0049B1DF5CCC,2.5058877,2.4853425,2.7651546,2.6836588,2.5826905,2.432111
004AC288D833,3.0449333,2.9423544,3.2231617,2.961498,3.1109562,3.112404
005661280443,3.3791435,3.4234667,3.5175095,3.447343,3.4818087,3.613622
008DDDDD8E8D,3.044508,2.7879405,2.8756802,2.6762044,2.4692278,2.425446
009BCCC61C2A,3.2083745,3.1183789,3.3805783,3.2582612,3.1238601,2.941645
009F4E9310CB,2.9556198,2.721666,3.006137,2.8208992,2.6089675,2.6952605
00B21F9B726F,3.467154,3.243295,3.232504,3.3012419,3.375107,3.0935726
00BCADB373EF,3.5435133,3.4718761,3.70321,3.6831481,3.1947312,3.5500689
00D281524375,3.0093615,2.962674,3.0101407,3.0917718,3.0450127,2.7670064
00ED2563D0B1,3.737596,3.779528,4.1479163,4.036533,3.9482462,3.8267338
011AAA636F11,3.467039,3.553368,3.8343275,3.717877,3.7377713,3.6750562
01350DF42AED,2.461612,2.2431974,2.6346395,2.354777,2.096288,2.4576979
01405C3C569D,2.9565132,2.7519302,3.041173,2.9188128,2.555349,2.9539573
01501F95B8B2,3.574101,3.5598335,3.7034943,3.781703,3.6433568,3.4556005
017802562E71,3.0268152,2.841565,3.3226116,2.9919026,2.8846142,3.0338237
01794F5F1423,3.3113437,3.3304844,3.3197398,3.351881,3.4196892,3.4277163
017D2125A1DE,2.4158998,2.375325,2.6273994,2.4203446,2.2619386,2.4932387
01911AC9674D,3.0485733,3.1583178,3.1682134,3.2237344,3.0071487,3.0361896
019BDC9DF7CD,3.0674834,3.1258042,3.2324095,3.0546527,3.2133868,3.5133967
01A65BA4080E,3.836967,3.7967954,3.999746,4.0052857,4.0398793,3.8981185
01B3FDB3FD57,4.047816,4.0375013,4.1771674,4.0057216,4.1585035,4.1988726
01C53183305A,2.540498,2.3615212,2.5240655,2.392347,2.3313992,2.157403
0230A077F5B6,2.9241877,2.6407762,2.8666675,2.6434383,2.4331956,2.2309575
025722D0AFB7,3.9271195,3.9370043,4.031133,3.9927292,3.8272572,3.5667188
027CB6393714,3.1996078,3.0844188,3.1884341,3.2336051,3.3554597,2.9904952
02B07248077F,2.150219,2.0004025,2.3764143,2.1943226,2.0300784,2.053625
02B36EBD5C66,3.461105,3.3799002,3.5927117,3.476813,3.181576,3.684422
0316F6288791,3.2247558,2.9928203,3.2160623,3.0676641,2.7509952,3.0707839
032EA4B76BF5,3.176126,2.9512544,3.1582718,3.187536,3.3116145,3.1996245
036042533396,3.198584,3.1644328,3.4102902,3.3287323,3.0156693,3.0600755
0369AD4B5726,3.3928494,3.6463547,3.8525496,3.8074634,3.7181044,3.8076906
037C88B5B111,3.5420241,3.2457385,3.5568717,3.3568678,2.8476624,3.472334
037ED3EA2982,3.2513106,3.3380864,3.4585845,3.5542848,3.3593063,3.2521687
0381BBE47393,3.5071027,3.2948053,3.3729033,3.3556662,3.2386222,3.3075833
0383E4A36E46,3.4275627,3.2761574,3.5535445,3.479406,3.4956138,3.2787445
03844422EA75,1.8129984,1.6464136,2.066079,1.8647413,1.8446995,1.1751511
038480498E5A,3.5578232,3.508105,3.5416696,3.514677,3.6342201,3.6837318
03A3B40D651B,2.787907,2.9387248,3.2299886,3.0968688,3.174825,3.1132932
03C9E7A15C42,2.4731326,2.42969,2.864406,2.6461124,2.628815,2.2186136
03CB73341E0E,3.651365,3.6576314,3.5947928,3.731715,3.6579874,3.3205328
03CC97D3747E,3.9374435,3.909493,3.958403,4.0184994,4.0161405,3.7803724
03D00899C901,2.7439082,2.633513,3.0790768,2.9995532,2.78097,2.6528935
03F7CF142B70,3.119116,3.0931976,3.114844,3.050868,3.2697384,2.8968973
0420DDE0BABD,2.3329127,2.3023975,2.6576037,2.5231214,2.377861,2.3005028
0435196871A1,3.029608,2.8022697,3.1702037,2.896514,2.4982295,2.8010573
043B9F48FDC2,2.8226397,2.7641573,3.0445082,2.8345501,2.6714923,2.7125669
04491B61A791,2.787749,2.6080728,2.9490705,2.6074119,2.362455,2.9013004
0465517EB6B7,2.6428545,2.569312,2.9187424,2.8756864,2.821539,2.7532332
04659704890C,3.1454604,3.2332718,3.3198085,3.4569473,3.316383,3.0921323
046C6FB91CBA,3.4916852,3.4414804,3.6345127,3.6170208,3.538374,3.5492823
046ECC91332C,3.4073074,3.3478718,3.479262,3.3290818,3.1063297,3.4468846
04788D56AC58,3.146244,3.1303124,3.2800267,3.3158367,3.4069762,3.0114417
047BD3CB80B4,3.526357,3.414679,3.6843107,3.616687,3.4585578,3.6108696
0484BCFC725D,2.7058122,2.5363233,2.6590958,2.5028868,2.390848,2.6943774
04ACA7EB3994,3.2385361,3.2498648,3.2920463,3.271011,3.1873813,3.177691
04B3A4DD9460,2.5551133,2.4662907,2.857128,2.6019886,2.608488,2.1285677
04B6FD84A066,3.6949158,3.7156243,3.8249176,3.7938206,3.8038406,3.6296294
04C2DA8069E7,2.2632866,2.238614,2.5512233,2.3102486,2.0913725,2.2154288
04E1A9EE5BE1,1.7289535,1.7520581,2.118878,1.7785888,1.7727121,1.7218953
04FA62C5F269,3.0108476,2.8406234,3.095437,2.8338675,2.446232,2.9514408
05021F4CA528,2.5676265,2.4286308,2.7930477,2.6008039,2.3744578,2.1055343
0506BAC596A7,2.6505225,2.4758887,2.5858657,2.4745097,2.3973777,2.5987587
050BFA60C6AF,2.8825557,2.831538,3.0540211,2.8777666,3.0621648,3.0025592
0514D25768A0,3.670792,3.4438992,3.5103178,3.3508022,3.0592284,3.4634314
051C3A22AEE0,2.5284111,2.3526235,2.5746403,2.3317494,2.2616014,2.2478342
053ACB9DFE74,2.5852444,2.5904202,2.698714,2.7601085,2.8781033,2.0277517
053C05D2EE43,2.8975134,2.8402677,2.9266136,3.026913,3.139087,2.551539
0546517E6BAA,3.2541602,3.0161974,3.0702605,2.8451598,2.485302,2.8559752
0563F089C239,3.5113022,3.3543792,3.6170058,3.2871504,3.1072257,3.52438
057E81E19740,2.5707133,2.5037334,2.767017,2.524908,2.3619292,2.5762937
057EE790CCEA,2.8279593,2.6372,2.8556693,2.6273096,2.3735962,2.4621413
05903AA4540F,3.1661515,3.0640156,3.0687265,2.937043,2.8154552,3.3592787
05ACEDBB9CB4,3.2896106,3.0286157,3.220006,3.0990422,2.9416063,3.440822
05CE0C0C5102,3.3974147,3.295275,3.3196652,3.2133574,3.0813425,3.3208718
