text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.8150403,2.8514132,3.1233547,3.1413615,3.1596,2.8652053
0022683E9EA5,2.732755,2.6307237,2.9389024,2.8343887,2.6168509,2.6781423
00299B378633,2.9672189,2.990582,3.0922933,3.0372496,3.0907495,3.1148942
003885A45F42,3.6055317,3.5260375,3.6996279,3.7173934,3.6149755,3.7896678
0049B1DF5CCC,2.429136,2.4005864,2.7789352,2.6037529,2.6522884,2.3231885
004AC288D833,3.031585,2.9479198,3.2370121,2.9782116,2.9902074,3.127416
005661280443,3.330951,3.4654362,3.5738783,3.4493701,3.471253,3.6277041
008DDDDD8E8D,2.8386593,2.6440606,2.8127556,2.5692596,2.409853,2.3068216
009BCCC61C2A,2.941776,2.8949645,3.3139992,3.1700268,3.0295253,2.7560663
009F4E9310CB,2.709745,2.6396554,2.981729,2.7362907,2.5287886,2.5586462
00B21F9B726F,3.1796615,3.0458229,3.1905246,3.1237004,3.215883,2.9659617
00BCADB373EF,3.6183975,3.6404428,3.7256913,3.8324761,3.4260602,3.7539597
00D281524375,2.998949,2.812275,2.9805176,3.0077443,3.0519059,2.6885972
00ED2563D0B1,3.8393006,3.8745353,4.175424,4.092275,3.9445286,3.9021466
011AAA636F11,3.4237669,3.4818866,3.7507682,3.5571198,3.593083,3.5837293
01350DF42AED,2.4638839,2.29843,2.636137,2.339117,2.1445646,2.4419494
01405C3C569D,2.8853767,2.6951003,3.0591395,2.8150747,2.5239465,2.9255557
01501F95B8B2,3.5150144,3.5056927,3.6866083,3.696038,3.5219164,3.4067736
017802562E71,3.04951,2.9385831,3.2320096,3.089415,2.9173195,3.0629997
01794F5F1423,3.2370672,3.287238,3.364762,3.314821,3.4495685,3.323839
017D2125A1DE,2.3803694,2.2229323,2.6199605,2.219933,1.9924699,2.2920883
01911AC9674D,3.0194607,3.0352094,3.0907085,3.0889523,2.9233038,3.0587375
019BDC9DF7CD,3.2042143,3.1879964,3.197464,3.0407016,3.0436132,3.4441001
01A65BA4080E,3.9118884,3.8893933,4.0246897,4.044355,4.063244,3.8237827
01B3FDB3FD57,4.2396355,4.110996,4.3046694,4.2004538,4.2483077,4.2941966
01C53183305A,2.501043,2.419871,2.5391614,2.370504,2.3235767,2.1178758
0230A077F5B6,2.6729286,2.4382112,2.7809224,2.540566,2.2813926,2.1815078
025722D0AFB7,3.8042576,3.7843068,3.983653,3.837361,3.7969787,3.5149214
027CB6393714,3.1751575,3.045569,3.2627103,3.2714577,3.3408964,3.0307937
02B07248077F,2.1327577,1.9900144,2.3064241,2.1684656,1.9726163,1.9116877
02B36EBD5C66,3.5519216,3.2943368,3.4173298,3.359289,3.0579,3.5858881
0316F6288791,3.0427675,2.794031,3.0306501,2.7915947,2.5681744,2.9229925
032EA4B76BF5,3.1148775,2.964867,3.1946614,3.1964788,3.2847927,3.1198568
036042533396,3.3503847,3.2980285,3.529394,3.5302517,3.2349157,3.338897
0369AD4B5726,3.545654,3.6984377,3.884068,3.801883,3.8703423,3.84738
037C88B5B111,3.3711233,3.149334,3.4674985,3.2143214,2.8822665,3.4205234
037ED3EA2982,3.2354662,3.3024616,3.5212564,3.578393,3.345763,3.2967036
