text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,2.9460793,2.9053924,3.119102,3.107041,3.1571152,2.6932065
0022683E9EA5,2.7812765,2.6977005,2.9691682,2.6438184,2.4440532,2.7574778
00299B378633,2.8895867,2.9161215,3.1623766,2.9719431,2.9277906,3.0907557
003885A45F42,3.7746637,3.6988497,3.8404229,3.7481616,3.799551,3.7722917
0049B1DF5CCC,2.3452551,2.3138387,2.6603966,2.511885,2.4390616,2.3891392
004AC288D833,3.231982,3.0190735,3.3415172,3.0159447,3.196379,3.176374
005661280443,3.2693114,3.3697555,3.3938775,3.4478996,3.4776886,3.6421907
008DDDDD8E8D,2.905129,2.6328547,2.8868823,2.6465485,2.4938436,2.4925356
009BCCC61C2A,3.1809385,2.9533308,3.2152202,3.2279632,2.989999,2.8626997
009F4E9310CB,2.910665,2.7097414,3.0477498,2.8239553,2.6891139,2.7508483
00B21F9B726F,3.411396,3.2297597,3.295384,3.296766,3.3814156,3.0933733
00BCADB373EF,3.5042937,3.51368,3.66278,3.6772401,3.3211808,3.680604
00D281524375,3.0517242,2.9214702,3.0699172,3.123267,3.175799,2.8269522
00ED2563D0B1,3.6054227,3.68166,3.945712,3.925876,3.9083683,3.7086918
011AAA636F11,3.4902446,3.611551,3.6813366,3.6644495,3.6358054,3.5588088
01350DF42AED,2.3807008,2.2618082,2.6384387,2.2918725,2.1102278,2.4885967
01405C3C569D,2.8781128,2.7141845,3.1363575,2.8509538,2.5380483,2.8879495
01501F95B8B2,3.6515577,3.6285944,3.6607327,3.8379934,3.7372262,3.457077
017802562E71,3.0855064,2.9417052,3.2140675,3.097059,2.9818218,3.1350076
01794F5F1423,3.2991369,3.338548,3.4039524,3.4057608,3.477109,3.4099336
017D2125A1DE,2.3565412,2.1803272,2.5655935,2.3225775,2.1222222,2.2858706
01911AC9674D,3.1356785,3.2031157,3.2183542,3.1787708,3.0141613,3.1478138
019BDC9DF7CD,3.0776572,3.014525,3.2554045,3.1218963,3.1808286,3.34525
01A65BA4080E,3.9728577,3.879787,4.0512986,4.0769715,4.0340357,3.850011
01B3FDB3FD57,3.979604,3.9212587,4.062475,4.0664916,4.078043,4.1489525
01C53183305A,2.6772928,2.3661106,2.6365528,2.3710995,2.4625373,2.3381064
0230A077F5B6,2.9475462,2.6162767,2.7894115,2.5973368,2.427484,2.3148034
