text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0016926B079C,3.008339,2.9635794,3.132942,3.208775,3.323344,2.8166287
0022683E9EA5,2.810795,2.6957836,2.838023,2.6367373,2.494441,2.8009467
00299B378633,2.9649158,2.9911525,3.1142857,3.0074673,3.0276532,3.0364969
003885A45F42,3.83029,3.5929677,3.7420752,3.6605198,3.5791454,3.6965637
0049B1DF5CCC,2.3812299,2.3109689,2.6664183,2.5275881,2.4655788,2.3022149
004AC288D833,3.129926,3.000412,3.2090578,3.044717,3.1389623,3.1782637
005661280443,3.3203592,3.344439,3.5989006,3.4502647,3.405729,3.5175939
008DDDDD8E8D,2.918955,2.6683283,2.8422613,2.6090727,2.446807,2.4478824
009BCCC61C2A,3.2767763,2.9433856,3.386608,3.203398,3.0098293,2.8001966
009F4E9310CB,2.8345015,2.6385095,2.9664054,2.74398,2.5522244,2.6362443
00B21F9B726F,3.2867799,3.1251519,3.2294943,3.2335486,3.2410786,3.0890162
00BCADB373EF,3.5554814,3.561831,3.764601,3.6682851,3.3876643,3.6672997
00D281524375,2.92038,2.8349698,2.951131,3.0142088,2.986142,2.67732
00ED2563D0B1,3.6966252,3.6900167,4.0070033,3.8805187,3.8103075,3.7591736
011AAA636F11,3.3871534,3.4618125,3.6331975,3.5407038,3.5123112,3.5621035
01350DF42AED,2.4122937,2.2204611,2.5358832,2.1405325,2.0113773,2.4740264
01405C3C569D,2.9062202,2.6950507,3.0468535,2.8464155,2.5438387,2.9327364
01501F95B8B2,3.5788014,3.5348737,3.695732,3.745633,3.544274,3.4395447
017802562E71,2.9977818,2.8180456,3.2366414,2.9718184,2.8916454,3.003442
01794F5F1423,3.2161508,3.2241764,3.314872,3.2650254,3.3239996,3.3577197
017D2125A1DE,2.3341615,2.2960262,2.6269333,2.3676689,2.1775491,2.381568
01911AC9674D,3.0817482,3.108962,3.258573,3.2292032,3.0856612,3.1345963
019BDC9DF7CD,3.176088,3.1229737,3.2748244,3.0833387,3.2576807,3.5287626
01A65BA4080E,3.7619421,3.6864634,3.8525167,3.862953,3.9009867,3.6388946
01B3FDB3FD57,4.0458107,3.9822264,4.2850337,4.0780754,4.2418675,4.2370048
01C53183305A,2.5513346,2.4217706,2.569112,2.4661963,2.4257677,2.2758424
0230A077F5B6,2.9663131,2.6749704,2.8206205,2.6687675,2.4355645,2.2527978
025722D0AFB7,3.8113513,3.795378,3.9000766,3.922291,3.813951,3.535022
027CB6393714,3.1999884,3.049673,3.2698562,3.294484,3.3529842,3.0616944
02B07248077F,2.2020614,2.0920024,2.4742694,2.1793208,2.1042328,2.0320928
02B36EBD5C66,3.500467,3.3086817,3.4746299,3.30412,3.1052606,3.5774624
0316F6288791,3.2466729,3.0167534,3.2134407,3.0069263,2.8122015,3.180056
032EA4B76BF5,3.2028093,2.9838083,3.1624258,3.242473,3.3077862,3.180477
036042533396,3.1309268,3.086097,3.3387268,3.2437928,2.980926,3.0433314
0369AD4B5726,3.3483791,3.5067606,3.7196276,3.6978755,3.630163,3.737148
037C88B5B111,3.5061402,3.2627797,3.5304935,3.2416208,2.8153698,3.4648907
037ED3EA2982,3.2466357,3.3002775,3.4240687,3.4979115,3.36129,3.2547882
0381BBE47393,3.483211,3.2358801,3.365211,3.2727752,3.159518,3.2585633
0383E4A36E46,3.573452,3.3032327,3.657617,3.46634,3.6006815,3.3360887
03844422EA75,1.8188741,1.7990698,2.0414257,1.917001,1.9774021,1.2746344
038480498E5A,3.481064,3.474798,3.5527658,3.5631955,3.781068,3.674158
03A3B40D651B,2.7589011,2.8927438,3.141417,3.0262506,3.0800653,2.9915514
03C9E7A15C42,2.5804443,2.4943686,2.8402023,2.7207863,2.6358333,2.193145
03CB73341E0E,3.629854,3.5193253,3.6550882,3.7024438,3.661066,3.218943
03CC97D3747E,3.8384209,3.7329335,3.947972,3.9101884,3.8320487,3.7852788
03D00899C901,2.6130188,2.57028,2.9792001,2.862911,2.8753006,2.782158
03F7CF142B70,3.3660414,3.1673388,3.169017,3.2396417,3.280473,2.8468654
0420DDE0BABD,2.4294848,2.4096942,2.7618713,2.6095207,2.5051038,2.394384
0435196871A1,3.1048777,2.7670727,3.1810918,2.9064674,2.6017978,2.8588114
043B9F48FDC2,2.8033974,2.6890666,2.9908264,2.8148873,2.7017536,2.645553
04491B61A791,2.7843637,2.5450687,2.9287813,2.6159241,2.3216028,2.8410006
0465517EB6B7,2.6321006,2.523716,2.9947023,2.787103,2.78533,2.7600093
04659704890C,3.2147179,3.25351,3.306695,3.3901806,3.394286,3.1366184
046C6FB91CBA,3.4134307,3.3312495,3.5195909,3.5004833,3.4241817,3.4004698
046ECC91332C,3.4049914,3.386445,3.5369654,3.4467158,3.2886832,3.4502642
04788D56AC58,3.141843,3.1630752,3.2778914,3.3728104,3.4481602,2.957827
047BD3CB80B4,3.6657548,3.4622173,3.6142378,3.6038897,3.4284952,3.564023
0484BCFC725D,2.6635199,2.4974372,2.739921,2.5530746,2.3875177,2.751057
04ACA7EB3994,3.1898804,3.2076666,3.3632548,3.3529687,3.3246024,3.2334473
04B3A4DD9460,2.695024,2.5708327,2.8427358,2.6885612,2.622455,2.289638
04B6FD84A066,3.5997868,3.6129994,3.774915,3.744077,3.7386584,3.6642375
04C2DA8069E7,2.3167703,2.2145178,2.5750988,2.3448322,2.1845179,2.1953816
04E1A9EE5BE1,1.6140282,1.597671,1.8244765,1.6485817,1.579585,1.5928953
04FA62C5F269,3.0296652,2.7927167,3.0700483,2.7253084,2.479196,2.8682206
05021F4CA528,2.4845126,2.3926895,2.7670627,2.623917,2.50243,2.22574
0506BAC596A7,2.5965176,2.529946,2.6770995,2.4777088,2.491835,2.5896122
050BFA60C6AF,2.8879206,2.8747506,3.1129098,2.9062417,2.9670963,2.9918656
0514D25768A0,3.7136147,3.3762739,3.6485605,3.4024634,3.0733993,3.4831405
051C3A22AEE0,2.5321517,2.3424232,2.6159286,2.3598614,2.3000908,2.3043664
053ACB9DFE74,2.6541815,2.639697,2.7420828,2.8079982,2.8702438,2.1346066
053C05D2EE43,2.9351711,2.8480616,2.9838986,3.0972085,3.2406437,2.6938198
0546517E6BAA,3.1671872,2.9232323,3.1026018,2.8225462,2.5333507,2.8249083
0563F089C239,3.429719,3.296233,3.5485625,3.2408714,3.0355968,3.495901
057E81E19740,2.6521542,2.4805915,2.789962,2.5883675,2.43725,2.5721705
057EE790CCEA,2.7119038,2.6023207,2.7887764,2.617523,2.2904918,2.3577294
05903AA4540F,3.0987062,2.9583416,2.9987984,2.8163538,2.7377868,3.3012087
05ACEDBB9CB4,3.3550794,3.104873,3.2937024,3.1513767,3.1396039,3.4912233
05CE0C0C5102,3.3524816,3.2625704,3.351842,3.3005073,3.0518548,3.3034952
05E5653B781C,2.700407,2.8047645,3.049503,2.9092216,2.828169,2.693588
05EC08C05019,3.4286103,3.255465,3.4933422,3.3398871,3.1251855,3.4067738
05F30981F3EB,3.774136,3.5431042,3.6316018,3.552113,3.414281,3.2783296
05F54CEC774B,3.203228,3.179285,3.3539631,3.1439154,3.0245547,3.3638337
0607B495212F,2.5225499,2.5182986,2.8332078,2.667473,2.6069348,2.5657666
061AF57CB05C,3.0830898,3.2410812,3.362294,3.31611,3.3724382,3.419607
061D2BBACB45,3.43179,3.2469065,3.4354198,3.155797,2.8879616,3.4855964
0623DD5A8E8F,2.626818,2.4666011,2.9736483,2.79334,2.7638817,2.6782138
062AE7A344D3,2.7394474,2.596946,2.854835,2.7328217,2.483916,2.4064953
063F809DE304,3.278494,3.2061033,3.5061893,3.3915894,3.3006756,3.2169335
064423D845B1,2.8733509,2.8399472,3.041682,2.8571348,2.877163,2.935185
06737289651D,2.2747047,2.040211,2.4113605,2.0832324,2.1079528,2.0428917
06C9FC1267BB,3.3277447,3.151021,3.3934784,3.2810006,3.0669348,3.3390772
06E81109FE92,2.4486353,2.4527922,2.695113,2.53487,2.4618511,2.5773518
06F368177993,2.1802206,2.0641596,2.5240648,2.195791,2.0076592,2.0125961
06F5F6A09DC6,3.459695,3.3951035,3.6020834,3.5579295,3.4256165,3.475471
06FA8EF28227,2.8947716,2.6018326,3.0229447,2.7942233,2.6797245,2.7548943
070D792C65B7,3.4092817,3.2345858,3.5292053,3.4698927,3.452046,3.3260443
074FA0221628,3.0925732,3.0260682,3.069904,3.0382826,2.9667246,2.9029126
0756FC69B810,3.0448685,2.7673137,3.0875685,2.8230455,2.6357422,2.9719987
076262AA0CD5,4.1386757,4.060846,4.355732,4.149841,3.865296,4.000151
0781753B768E,2.915867,2.9215424,3.275921,3.2960413,3.1891572,2.9877822
078201045481,2.6864877,2.464802,3.0595806,2.6988637,2.3659863,2.7507904
079FDB42E429,3.4386144,3.4994755,3.6640997,3.6495419,3.6798477,3.6195135
07A4DAFDE5B7,2.9460583,2.761031,3.005521,2.908884,2.7289853,2.646737
07C6BB6ADA38,3.4504762,3.1624358,3.2802312,3.0232933,2.7699237,3.3704581
07CE77EA56C5,4.4246755,4.289773,4.431683,4.4175844,4.3095384,4.0864086
07D5647B11AE,2.6793551,2.5291998,2.789631,2.612182,2.4110441,2.2979527
07DFD9A0986B,2.8372462,2.843476,3.0681186,3.0393357,3.0130022,2.510965
07E1633CC87A,3.3929484,3.2285728,3.2823856,3.149532,3.223962,3.5050972
07F3241EB3C6,3.907026,3.9068785,4.1920977,3.9826524,3.902683,3.95325
0803CE11A14A,3.1623592,3.2303438,3.3906114,3.378768,3.4357708,3.3454232
083E12F6B1D0,2.8908305,2.826872,3.0807981,2.853965,2.745943,2.3329055
084763DC1C8C,3.7691371,3.485432,3.5131328,3.5461762,3.761161,3.722319
085C8B43ADD6,3.159389,2.9258482,3.417992,3.2618546,2.9583237,3.1879134
08683001D359,2.4728756,2.4774709,2.7038136,2.5534656,2.446481,2.2525647
0877E6A813FE,2.956608,2.7192757,3.164693,2.8694887,2.6500099,2.9423897
08B25090A80C,3.6984801,3.4915555,3.6528509,3.5808685,3.2951415,3.5374615
08B72DCFD859,3.09976,2.9610193,3.1374857,3.1279263,2.966715,2.7648594
08D8232F2D78,2.8237252,2.7727342,2.9619534,2.6265838,2.5652416,3.0201206
08FAE6E0BDCC,2.8113868,2.812199,2.9829738,2.9291205,3.0282316,2.8834805
08FC0154E0EF,2.5686839,2.3164701,2.6394103,2.4152148,2.2243,2.231888
08FC47A564AE,3.2743497,3.2632153,3.4124632,3.4737885,3.497657,3.4556649
092BBD374359,3.088086,3.0522816,3.25786,3.0691297,2.846652,3.1093752
0943E322C195,3.0834792,3.0928404,3.2084634,3.1848536,3.1184452,2.8361669
094684D6DD30,2.585065,2.5189497,2.6936808,2.4119115,2.382853,2.575187
095E153640F7,3.2840745,3.2144232,3.4964144,3.3605099,3.174234,3.2618096
0985602832CD,2.4556851,2.4937627,2.8523655,2.758593,2.880072,2.789555
09A801B564F5,3.0780208,3.0234287,3.0789878,3.0978498,3.2534351,3.1719313
09ADB0629CD0,3.6566458,3.6003137,3.7387595,3.6358075,3.5791461,3.8039975
09EC2F6B0D24,2.7723775,2.7008624,2.9961853,2.8586137,2.7863758,2.850069
0A082DA0A890,3.0175672,2.8505936,2.9450645,2.8860528,2.7834926,2.733219
0A1482CD6163,3.5894032,3.4185345,3.5229862,3.4553926,3.581023,3.5986755
0A324290AFE7,3.3348644,3.228901,3.450047,3.3717313,3.260044,3.3138463
0A3964629F69,2.8436077,2.5657506,2.8255022,2.5681567,2.4140165,2.3806
0A4CDC286F8C,3.0044591,3.0250125,3.0607796,2.9361455,3.101284,2.7349463
0A8B8F282E45,3.2861626,2.9540372,3.248115,2.9705575,2.7517319,3.2082508
0AAD73A0AA91,3.2359622,3.0694494,3.3530967,3.2190232,2.9701993,3.1469426
0AB62AE1C13F,3.130838,3.1156511,3.124436,3.1462708,3.3693116,3.307553
0ABD502C5BF9,3.1245522,2.9049132,3.2499716,3.007782,2.824608,3.1110039
0AC3C87DC51A,2.4198012,2.3652818,2.659589,2.4809885,2.5285861,2.1306155
0ACB3F8B9DF8,2.8289127,2.9419332,3.1240654,3.153749,3.313555,2.9764793
0AD69388300B,3.9115822,3.6775355,3.6672592,3.697706,3.769011,3.8501015
0AF4F757FBEA,2.9495625,2.5974977,2.8855088,2.533322,2.3814535,2.916129
0AFAD06336F3,3.3397877,3.2542703,3.3628173,3.3608832,3.1561708,3.0713682
0AFC8CE27321,3.6181731,3.5210624,3.6451478,3.7377896,3.8479593,3.6879141
0AFEC3CC53B5,2.469638,2.2949436,2.704502,2.4867027,2.3014722,2.426876
0B00BC4CBABC,3.5743527,3.2375407,3.454155,3.3514292,3.065145,3.3081079
0B1599B11FCF,2.681402,2.549973,2.6313655,2.4678357,2.4292574,2.3833609
0B3118834B72,3.5150876,3.319793,3.414564,3.3771486,3.3659403,3.5335374
0B478E81218B,3.2476015,3.2282448,3.6106696,3.5043383,3.3036606,3.4588099
0B6316123881,3.0532699,3.0931573,3.200604,3.1201048,3.1041155,3.23231
0B720B5EA0E9,3.3088295,3.3237627,3.4024158,3.3774164,3.374082,3.2581015
0B72A4344B3E,3.074837,2.887967,3.1366405,2.9152074,2.641064,2.9786236
0B84A2B37B65,2.4107263,2.362525,2.7348273,2.5264997,2.4501767,2.5871148
0B953049AE1E,3.5787075,3.5425272,3.7720082,3.8047051,3.797684,3.648169
0BB7AF7A448C,3.3568559,3.039386,3.3590984,3.0958056,2.8653927,3.071199
0BB9FAE6E27B,3.4398804,3.4894452,3.7851348,3.5810444,3.4588776,3.591212
